gr,shape,colour,opacity,size
SD45E,circle,black,0.6,1
SD46A,circle,black,0.6,1
SD33W,circle,black,0.6,1
SD34N,circle,black,0.6,1
SJ28E,circle,black,0.6,1
SJ64J,circle,black,0.6,1
SJ29K,circle,black,0.6,1
SJ76C,circle,black,0.6,1
SJ69K,circle,black,0.6,1
SJ88F,circle,black,0.6,1
SJ56U,circle,black,0.6,1
SD20X,circle,black,0.6,1
SJ57K,circle,black,0.6,1
SJ57L,circle,black,0.6,1
SJ56Z,circle,black,0.6,1
SJ69W,circle,black,0.6,1
SJ67F,circle,black,0.6,1
SJ37B,circle,black,0.6,1
SJ67S,circle,black,0.6,1
SJ87N,circle,black,0.6,1
SJ28M,circle,black,0.6,1
SJ58A,circle,black,0.6,1
SJ59G,circle,black,0.6,1
SJ59I,circle,black,0.6,1
SJ48W,circle,black,0.6,1
SJ69J,circle,black,0.6,1
SJ38M,circle,black,0.6,1
SJ38P,circle,black,0.6,1
SJ49P,circle,black,0.6,1
SJ49I,circle,black,0.6,1
SJ49M,circle,black,0.6,1
SD32K,circle,black,0.6,1
SD30L,circle,black,0.6,1
SD30P,circle,black,0.6,1
SJ58L,circle,black,0.6,1
SJ49K,circle,black,0.6,1
SJ46S,circle,black,0.6,1
SJ69Y,circle,black,0.6,1
SJ39K,circle,black,0.6,1
SD21V,circle,black,0.6,1
SJ97A,circle,black,0.6,1
SD70U,circle,black,0.6,1
SD71G,circle,black,0.6,1
SJ69C,circle,black,0.6,1
SJ27U,circle,black,0.6,1
SD52P,circle,black,0.6,1
SD44P,circle,black,0.6,1
SD52S,circle,black,0.6,1
SD33L,circle,black,0.6,1
SD66V,circle,black,0.6,1
SJ65V,circle,black,0.6,1
SJ66N,circle,black,0.6,1
SJ56X,circle,black,0.6,1
SD61X,circle,black,0.6,1
SJ58N,circle,black,0.6,1
SJ98E,circle,black,0.6,1
SD53A,circle,black,0.6,1
SJ78G,circle,black,0.6,1
SJ59E,circle,black,0.6,1
SJ78K,circle,black,0.6,1
SJ48J,circle,black,0.6,1
SJ89Q,circle,black,0.6,1
SJ98R,circle,black,0.6,1
SJ59R,circle,black,0.6,1
SK07C,circle,black,0.6,1
SJ89M,circle,black,0.6,1
SD71Y,circle,black,0.6,1
SJ66E,circle,black,0.6,1
SJ66J,circle,black,0.6,1
SJ97W,circle,black,0.6,1
SD60J,circle,black,0.6,1
SJ75A,circle,black,0.6,1
SD60E,circle,black,0.6,1
SJ45W,circle,black,0.6,1
SD61F,circle,black,0.6,1
SD61R,circle,black,0.6,1
SJ69Q,circle,black,0.6,1
SJ69X,circle,black,0.6,1
SD44N,circle,black,0.6,1
SJ49T,circle,black,0.6,1
SD61L,circle,black,0.6,1
SD33A,circle,black,0.6,1
SD32Q,circle,black,0.6,1
SD31B,circle,black,0.6,1
SJ38K,circle,black,0.6,1
SD20Z,circle,black,0.6,1
SD46F,circle,black,0.6,1
SD33F,circle,black,0.6,1
SD32T,circle,black,0.6,1
SD32Z,circle,black,0.6,1
SD32P,circle,black,0.6,1
SD66K,circle,black,0.6,1
SD31C,circle,black,0.6,1
SD32I,circle,black,0.6,1
SD66Q,circle,black,0.6,1
SD47S,circle,black,0.6,1
SJ59J,circle,black,0.6,1
SD34I,circle,black,0.6,1
SD42Z,circle,black,0.6,1
SD66T,circle,black,0.6,1
SJ38L,circle,black,0.6,1
SJ59Q,circle,black,0.6,1
SJ27X,circle,black,0.6,1
