event.week,event.year,location.point
25,"2,023","42.32696,-5.91696999999999"
25,"2,023","47.31619,12.77151"
25,"2,023","46.46347,23.46238"
25,"2,023","46.34751,25.82491"
25,"2,023","47.31619,12.77151"
25,"2,023","46.42561,23.53936"
25,"2,023","51.91485,5.34053000000001"
25,"2,023","40.3994,40.75978"
25,"2,023","43.93381,7.65987000000001"
25,"2,023","46.48993,13.71979"
25,"2,023","40.40657,-3.26946999999999"
25,"2,023","42.86,27.892"
25,"2,023","42.8582,27.89145"
25,"2,023","48.82644,10.0854"
25,"2,023","34.84201,135.40296"
24,"2,023","46.83373,17.54829"
24,"2,023","45.546,8.32200000000001"
24,"2,023","38.94657,-1.68071"
24,"2,023","45.546,8.323"
24,"2,023","46.4247,10.75568"
24,"2,023","46.43085,10.75598"
24,"2,023","38.6374,-0.765499999999995"
24,"2,023","38.799,-9.37299999999997"
24,"2,023","46.9716,17.7899"
24,"2,023","46.97105,17.78723"
24,"2,023","41.67766,2.40145000000001"
24,"2,023","42.47019,-9.00322999999996"
24,"2,023","42.47352,-9.00918000000005"
24,"2,023","52.7709,0.439920000000012"
24,"2,023","52.77079,0.440330000000005"
24,"2,023","40.07172,-2.20201"
24,"2,023","40.06646,-2.20104000000001"
24,"2,023","41.4905299999999,-2.57463999999999"
24,"2,023","46.97163,17.78985"
24,"2,023","52.77088,0.439920000000012"
24,"2,023","46.9716,17.7899"
24,"2,023","47.937,16.717"
24,"2,023","46.32137,25.93079"
24,"2,023","46.32203,25.93376"
24,"2,023","52.77087,0.440020000000001"
24,"2,023","52.77087,0.440020000000001"
24,"2,023","52.77088,0.439920000000012"
24,"2,023","51.51624,5.86490999999999"
24,"2,023","46.32145,25.93098"
24,"2,023","41.48928,-2.56784"
24,"2,023","41.58618,-2.46950999999999"
24,"2,023","52.77079,0.440330000000005"
24,"2,023","52.77088,0.439920000000012"
24,"2,023","52.77091,0.439770000000004"
24,"2,023","34.24989,132.7138"
24,"2,023","50.82426,-4.55748"
24,"2,023","50.82407,-4.55744999999999"
24,"2,023","50.82407,-4.55744999999999"
24,"2,023","42.11881,-4.79327000000001"
24,"2,023","39.44554,-8.31847999999999"
24,"2,023","35.63253,139.55972"
24,"2,023","35.92315,139.64274"
24,"2,023","48.28028,16.89939"
24,"2,023","39.75697,2.82657"
24,"2,023","53.21929,5.75414000000001"
24,"2,023","40.8772,-3.57148999999999"
24,"2,023","46.919,17.61038"
24,"2,023","53.22316,5.74368"
24,"2,023","39.75672,2.82693999999999"
24,"2,023","42.32753,-5.91513"
24,"2,023","53.22316,5.74368"
24,"2,023","53.21929,5.75414000000001"
24,"2,023","53.21927,5.75578999999999"
24,"2,023","44.4435976,8.93674479999999"
24,"2,023","41.67644,2.40322000000001"
24,"2,023","45.148,9.64900000000003"
24,"2,023","41.67635,2.40299"
24,"2,023","46.23384,14.28765"
24,"2,023","46.32451,25.79901"
24,"2,023","46.32526,25.79943"
24,"2,023","44.4435346,8.93666419999999"
24,"2,023","46.32482,25.79945"
24,"2,023","55.95191,-3.03205000000001"
24,"2,023","47.08495,19.30807"
24,"2,023","46.9828,17.05952"
24,"2,023","40.067,-2.12100000000001"
24,"2,023","46.33092,25.8051"
24,"2,023","40.0649999999999,-2.118"
24,"2,023","46.98235,17.05657"
24,"2,023","53.28618,6.30304999999999"
24,"2,023","42.858,27.891"
24,"2,023","42.8582,27.89145"
24,"2,023","42.86,27.892"
24,"2,023","46.98356,17.0639"
24,"2,023","38.78395,-9.27523999999998"
24,"2,023","38.78406,-9.27386000000002"
23,"2,023","38.6374,-0.765499999999995"
23,"2,023","47.62282,19.21714"
23,"2,023","45.60248,25.63511"
23,"2,023","45.6007,25.638"
23,"2,023","47.62282,19.21714"
23,"2,023","46.041,18.20397"
23,"2,023","40.39902,40.76068"
23,"2,023","46.04103,18.20258"
23,"2,023","41.88551,12.45566"
23,"2,023","38.564,-8.91800000000001"
23,"2,023","46.23257,14.28166"
23,"2,023","42.33146,23.69465"
23,"2,023","45.85076,18.40074"
23,"2,023","45.85078,18.40129"
23,"2,023","46.23266,14.28123"
23,"2,023","46.23271,14.28155"
23,"2,023","38.96,-2.88399999999999"
23,"2,023","38.841,-2.953"
23,"2,023","38.841,-2.948"
23,"2,023","37.67102,-3.74849000000001"
23,"2,023","42.267,23.477"
23,"2,023","38.967,-2.88899999999999"
23,"2,023","35.14643,33.36132"
23,"2,023","40.75669,-3.79620000000001"
23,"2,023","38.959,-2.88"
23,"2,023","42.32753,-5.91513"
23,"2,023","37.67102,-3.74849000000001"
23,"2,023","37.67102,-3.74849000000001"
23,"2,023","37.67102,-3.74849000000001"
23,"2,023","38.84,-2.95100000000001"
23,"2,023","34.25056,132.71328"
23,"2,023","35.92315,139.64274"
23,"2,023","40.67204,-3.73746999999999"
23,"2,023","40.67217,-3.74053"
23,"2,023","53.2267,5.76524"
23,"2,023","41.51,-8.75799999999999"
23,"2,023","45.6988808026461,8.38867561729062"
23,"2,023","47.10668,19.29319"
23,"2,023","45.6988808026461,8.38867561729062"
23,"2,023","45.6987334932769,8.38888466851126"
23,"2,023","35.07198,135.75046"
23,"2,023","47.10105,19.29344"
23,"2,023","45.6988808026461,8.38867561729062"
23,"2,023","45.6987334932769,8.38888466851126"
23,"2,023","41.5829,-2.46627000000001"
23,"2,023","35.07712,135.74826"
23,"2,023","40.3993,40.75989"
23,"2,023","47.08428,19.307"
23,"2,023","34.84163,135.40095"
23,"2,023","43.307,11.299"
23,"2,023","40.37771,-3.79990000000001"
23,"2,023","45.88427,18.25814"
23,"2,023","48.97075,14.53913"
23,"2,023","42.2905543136978,3.13193405072629"
23,"2,023","34.25682,132.71599"
23,"2,023","41.043,-3.47945999999998"
23,"2,023","40.38646,-3.79885999999999"
23,"2,023","43.32572,11.26266"
23,"2,023","38.8198,16.5838"
23,"2,023","41.043,-3.47945999999998"
23,"2,023","41.04387,-3.47832000000001"
23,"2,023","45.88458,18.25757"
23,"2,023","43.32461,11.26084"
22,"2,023","46.23979,14.31758"
22,"2,023","47.78278,19.14552"
22,"2,023","46.23378,14.28597"
22,"2,023","42.57043,11.70119"
22,"2,023","45.98836,18.24077"
22,"2,023","46.23999,14.31478"
22,"2,023","46.24058,14.31738"
22,"2,023","45.98788,18.24106"
22,"2,023","45.99216,18.23819"
22,"2,023","47.62643,16.75206"
22,"2,023","46.57049,23.66797"
22,"2,023","46.24029,14.32041"
22,"2,023","46.337,18.86227"
22,"2,023","38.94067,-1.67614"
22,"2,023","45.69125,8.34705000000001"
22,"2,023","46.91567,17.61201"
22,"2,023","46.0416,18.19903"
22,"2,023","35.31975,33.16102"
22,"2,023","34.25361,132.7141"
22,"2,023","46.97096,17.79079"
22,"2,023","35.31975,33.16102"
22,"2,023","45.70086,8.31046000000001"
22,"2,023","38.94651,-1.68029"
22,"2,023","38.94657,-1.68071"
22,"2,023","46.23661,14.32962"
22,"2,023","45.296,9.12700000000002"
22,"2,023","45.295,9.12799999999999"
22,"2,023","35.12759,33.30876"
22,"2,023","46.71801,23.40742"
22,"2,023","46.7469,25.58938"
22,"2,023","46.71844,23.41028"
22,"2,023","46.71793,23.40784"
22,"2,023","41.49369,-2.43009"
22,"2,023","46.54496,25.98018"
22,"2,023","46.71811,23.41137"
22,"2,023","48.04465,20.62381"
22,"2,023","46.54627,25.9793"
22,"2,023","46.51761,23.34352"
22,"2,023","46.54145,25.98361"
22,"2,023","46.54246,25.98318"
22,"2,023","46.75059,25.59064"
22,"2,023","41.49558,-2.43128"
22,"2,023","41.49202,-2.42829000000001"
22,"2,023","42.858,27.891"
22,"2,023","46.40574,25.97378"
22,"2,023","46.40582,25.97434"
22,"2,023","46.40574,25.97384"
22,"2,023","46.404,25.97246"
22,"2,023","42.86,27.892"
22,"2,023","42.8582,27.89145"
22,"2,023","46.7616,23.27856"
22,"2,023","42.33146,23.69465"
22,"2,023","46.98236,17.05714"
22,"2,023","46.59523,26.07115"
22,"2,023","46.1089,24.83233"
22,"2,023","42.32753,-5.91513"
22,"2,023","46.1089,24.83233"
22,"2,023","43.93381,7.65987000000001"
22,"2,023","40.527,-3.66327999999999"
22,"2,023","46.71783,23.40299"
22,"2,023","34.84163,135.40095"
22,"2,023","47.0708,15.07638"
22,"2,023","36.4377,139.25139"
22,"2,023","34.21646,132.63408"
22,"2,023","43.32461,11.26084"
22,"2,023","34.59424,133.06281"
22,"2,023","40.9635,-3.10449"
22,"2,023","51.90005,6.06005"
22,"2,023","42.36709,1.46081000000001"
22,"2,023","47.0708,15.07638"
22,"2,023","46.71872,23.40485"
22,"2,023","47.0708,15.07638"
22,"2,023","38.92373,-7.80333000000001"
22,"2,023","46.71861,23.41769"
22,"2,023","40.39979,40.7598"
22,"2,023","46.80767,23.20067"
22,"2,023","46.76442,23.28129"
22,"2,023","40.6691199999999,-3.74172"
22,"2,023","46.76437,23.28145"
22,"2,023","46.76188,23.27768"
22,"2,023","46.76221,23.27682"
22,"2,023","40.39979,40.7598"
22,"2,023","45.616,8.24199999999999"
22,"2,023","42.6324,-8.64479"
22,"2,023","47.84091,19.09229"
22,"2,023","35.28804,139.20996"
21,"2,023","45.143635,8.44225999999998"
21,"2,023","42.97173,1.59520000000001"
21,"2,023","45.01366,6.81680999999999"
21,"2,023","46.24029,14.32041"
21,"2,023","35.63379,139.55266"
21,"2,023","39.6278,26.89092"
21,"2,023","39.62768,26.89021"
21,"2,023","46.014,8.316"
21,"2,023","39.6274,26.89192"
21,"2,023","43.27159,-8.27375000000002"
21,"2,023","40.0418,3.92812"
21,"2,023","49.7127983400631,5.9671192222437"
21,"2,023","47.72936,19.10929"
21,"2,023","40.49541,-3.97893"
21,"2,023","48.6693,20.53632"
21,"2,023","40.04121,3.92660999999999"
21,"2,023","47.69384,13.12912"
21,"2,023","42.89283,-6.38844"
21,"2,023","47.14368,17.81116"
21,"2,023","40.0688899999999,-2.20149999999999"
21,"2,023","40.478,-3.96300000000002"
21,"2,023","40.04879,3.92668000000001"
21,"2,023","42.1375,3.00988999999999"
21,"2,023","42.4468,-8.64817000000001"
21,"2,023","47.01407,17.73062"
21,"2,023","47.13274,17.80863"
21,"2,023","42.44559,-8.64589"
21,"2,023","42.14059,3.0088"
21,"2,023","43.68259,3.87397000000001"
21,"2,023","42.13771,3.00986"
21,"2,023","50.79971,-2.55223999999999"
21,"2,023","55.31968,21.30432"
21,"2,023","47.01368,17.74033"
21,"2,023","42.44144,-8.64773999999999"
21,"2,023","42.13774,3.00984"
21,"2,023","47.01433,17.72984"
21,"2,023","47.0168,17.73775"
21,"2,023","47.23727,18.23373"
21,"2,023","47.24849,18.24067"
21,"2,023","43.79222,11.23412"
21,"2,023","47.23731,18.23853"
21,"2,023","42.31273,23.71367"
21,"2,023","55.5511,25.47091"
21,"2,023","41.63,-6.45599999999999"
21,"2,023","45.81882,13.96736"
21,"2,023","42.31538,23.7159100000001"
21,"2,023","45.525,8.709"
21,"2,023","47.23113,18.24666"
21,"2,023","47.23573,18.24333"
21,"2,023","42.31538,23.7159100000001"
21,"2,023","43.20608,-7.85015"
21,"2,023","40.39684,40.75027"
21,"2,023","35.74211,140.15299"
21,"2,023","51.46452,5.38750000000001"
21,"2,023","46.56609,23.68911"
21,"2,023","47.71811,19.15725"
21,"2,023","40.39684,40.75027"
21,"2,023","40.39684,40.75027"
21,"2,023","35.92315,139.64274"
21,"2,023","35.73951,140.14455"
21,"2,023","47.19343,18.08114"
21,"2,023","38.92373,-7.80333000000001"
21,"2,023","34.84344,135.40481"
21,"2,023","47.22102,18.17508"
21,"2,023","47.01551,17.93616"
21,"2,023","46.92399,23.73747"
21,"2,023","47.13418,18.00816"
21,"2,023","47.19345,18.08161"
21,"2,023","48.19217,16.21201"
21,"2,023","35.28668,139.20894"
21,"2,023","46.42662,23.54694"
21,"2,023","47.22053,18.19639"
21,"2,023","42.33146,23.69465"
21,"2,023","46.42586,23.54242"
21,"2,023","46.42662,23.54694"
21,"2,023","47.22006,18.20145"
20,"2,023","40.3995,40.75941"
20,"2,023","38.766,-9.46600000000002"
20,"2,023","52.19481,4.52307"
20,"2,023","40.581,-4.15"
20,"2,023","40.3995,40.75941"
20,"2,023","42.13951,3.00945999999999"
20,"2,023","42.13945,3.00949000000001"
20,"2,023","42.13942,3.00951000000001"
20,"2,023","42.13938,3.0106"
20,"2,023","42.13882,3.01044"
20,"2,023","42.13746,3.00987000000002"
20,"2,023","42.13787,3.01046000000001"
20,"2,023","42.13855,3.01039999999999"
20,"2,023","46.32179,25.79843"
20,"2,023","42.1402,3.00909"
20,"2,023","42.13951,3.00945000000001"
20,"2,023","42.13751,3.0099"
20,"2,023","46.325,25.79937"
20,"2,023","42.13952,3.00945000000001"
20,"2,023","42.1374,3.01001000000001"
20,"2,023","42.13745,3.00987000000002"
20,"2,023","42.13755,3.00986"
20,"2,023","46.31955,25.7987"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.399,40.76566"
20,"2,023","35.12759,33.30876"
20,"2,023","35.31333,33.18668"
20,"2,023","35.31333,33.18667"
20,"2,023","35.51384,139.51552"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.399,40.76566"
20,"2,023","40.399,40.76566"
20,"2,023","35.31333,33.18667"
20,"2,023","43.23809,-8.24863"
20,"2,023","43.07347,-6.99746999999999"
20,"2,023","35.31333,33.18667"
20,"2,023","35.31333,33.18667"
20,"2,023","35.31333,33.18667"
20,"2,023","42.56035,23.4214"
20,"2,023","38.561,-8.92300000000001"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.399,40.76566"
20,"2,023","40.399,40.76566"
20,"2,023","40.399,40.76566"
20,"2,023","39.70346,19.74265"
20,"2,023","39.78507,19.79107"
20,"2,023","39.78871,19.7498"
20,"2,023","28.76059,-17.87251"
20,"2,023","41.58618,-2.46950999999999"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.39923,40.76576"
20,"2,023","40.399,40.76566"
20,"2,023","40.399,40.76566"
20,"2,023","35.58303,139.75815"
20,"2,023","38.564,-8.91800000000001"
20,"2,023","43.23969,-8.24903999999999"
20,"2,023","43.23948,-8.24887999999999"
20,"2,023","41.63456,35.52074"
20,"2,023","43.63512,5.47966"
20,"2,023","41.65757,2.41859999999999"
20,"2,023","41.65755,2.41863000000001"
20,"2,023","41.65755,2.41863000000001"
20,"2,023","41.65638,2.41659999999999"
