gr,shape,colour,opacity,size
SO65,circle,"#000000",0.8,1
SO66,circle,"#000000",0.8,1
SO67,circle,"#000000",0.8,1
SO70,circle,"#000000",0.8,1
SO71,circle,"#000000",0.8,1
SO72,circle,"#000000",0.8,1
SO73,circle,"#000000",0.8,1
SO74,circle,"#000000",0.8,1
SO75,circle,"#000000",0.8,1
SO76,circle,"#000000",0.8,1
SO77,circle,"#000000",0.8,1
SO81,circle,"#000000",0.8,1
SO82,circle,"#000000",0.8,1
SO83,circle,"#000000",0.8,1
SO84,circle,"#000000",0.8,1
SO85,circle,"#000000",0.8,1
SO86,circle,"#000000",0.8,1
SO87,circle,"#000000",0.8,1
SO88,circle,"#000000",0.8,1
SO89,circle,"#000000",0.8,1
SO90,circle,"#000000",0.8,1
SO93,circle,"#000000",0.8,1
SO94,circle,"#000000",0.8,1
SO95,circle,"#000000",0.8,1
SO96,circle,"#000000",0.8,1
SO98,circle,"#000000",0.8,1
SO99,circle,"#000000",0.8,1
SP03,circle,"#000000",0.8,1
SP04,circle,"#000000",0.8,1
SP05,circle,"#000000",0.8,1
SP06,circle,"#000000",0.8,1
SP08,circle,"#000000",0.8,1
SP10,circle,"#000000",0.8,1
SP11,circle,"#000000",0.8,1
SP12,circle,"#000000",0.8,1
SP13,circle,"#000000",0.8,1
SP14,circle,"#000000",0.8,1
SP15,circle,"#000000",0.8,1
SP16,circle,"#000000",0.8,1
SP17,circle,"#000000",0.8,1
SP18,circle,"#000000",0.8,1
SP21,circle,"#000000",0.8,1
SP23,circle,"#000000",0.8,1
SP24,circle,"#000000",0.8,1
SP25,circle,"#000000",0.8,1
SP26,circle,"#000000",0.8,1
SP27,circle,"#000000",0.8,1
SP28,circle,"#000000",0.8,1
SP29,circle,"#000000",0.8,1
SP30,circle,"#000000",0.8,1
SP34,circle,"#000000",0.8,1
SP35,circle,"#000000",0.8,1
SP36,circle,"#000000",0.8,1
SP37,circle,"#000000",0.8,1
SP38,circle,"#000000",0.8,1
SP39,circle,"#000000",0.8,1
SP40,circle,"#000000",0.8,1
SP41,circle,"#000000",0.8,1
SP44,circle,"#000000",0.8,1
SP45,circle,"#000000",0.8,1
SP46,circle,"#000000",0.8,1
SP47,circle,"#000000",0.8,1
SP48,circle,"#000000",0.8,1
SP49,circle,"#000000",0.8,1
SP50,circle,"#000000",0.8,1
SP52,circle,"#000000",0.8,1
SP54,circle,"#000000",0.8,1
SP56,circle,"#000000",0.8,1
SP57,circle,"#000000",0.8,1
SP58,circle,"#000000",0.8,1
SP60,circle,"#000000",0.8,1
SP62,circle,"#000000",0.8,1
SP64,circle,"#000000",0.8,1
