gr,shape,colour,opacity,size
SD66B,circle,black,0.6,1
SD57K,circle,black,0.6,1
SD46W,circle,black,0.6,1
SD46V,circle,black,0.6,1
SD47T,circle,black,0.6,1
SD45V,circle,black,0.6,1
SD54M,circle,black,0.6,1
SD57S,circle,black,0.6,1
SD45M,circle,black,0.6,1
SD57Q,circle,black,0.6,1
SD34N,circle,black,0.6,1
SD56Z,circle,black,0.6,1
SD46A,circle,black,0.6,1
SD45E,circle,black,0.6,1
SD30P,circle,black,0.6,1
SD53P,circle,black,0.6,1
SD56F,circle,black,0.6,1
SD46Z,circle,black,0.6,1
SD53B,circle,black,0.6,1
SJ65V,circle,black,0.6,1
SD56X,circle,black,0.6,1
SD56S,circle,black,0.6,1
SD56T,circle,black,0.6,1
SD43T,circle,black,0.6,1
SD57B,circle,black,0.6,1
SJ58Z,circle,black,0.6,1
SJ28E,circle,black,0.6,1
SJ68D,circle,black,0.6,1
SJ64J,circle,black,0.6,1
SJ29K,circle,black,0.6,1
SJ76C,circle,black,0.6,1
SJ67M,circle,black,0.6,1
SJ69Y,circle,black,0.6,1
SJ88F,circle,black,0.6,1
SD41M,circle,black,0.6,1
SJ58T,circle,black,0.6,1
SJ56U,circle,black,0.6,1
SD20X,circle,black,0.6,1
SJ57A,circle,black,0.6,1
SJ89V,circle,black,0.6,1
SJ57L,circle,black,0.6,1
SJ69W,circle,black,0.6,1
SJ58L,circle,black,0.6,1
SJ68N,circle,black,0.6,1
SJ57V,circle,black,0.6,1
SJ37B,circle,black,0.6,1
SD34M,circle,black,0.6,1
SJ87N,circle,black,0.6,1
SJ56Z,circle,black,0.6,1
SJ88B,circle,black,0.6,1
SJ57K,circle,black,0.6,1
SJ99Q,circle,black,0.6,1
SJ57J,circle,black,0.6,1
SJ28M,circle,black,0.6,1
SJ39M,circle,black,0.6,1
SJ58A,circle,black,0.6,1
SJ86D,circle,black,0.6,1
SJ59G,circle,black,0.6,1
SJ59I,circle,black,0.6,1
SJ69C,circle,black,0.6,1
SD61L,circle,black,0.6,1
SD90B,circle,black,0.6,1
SJ69J,circle,black,0.6,1
SJ57E,circle,black,0.6,1
SJ48W,circle,black,0.6,1
SJ58E,circle,black,0.6,1
SJ69P,circle,black,0.6,1
SD31V,circle,black,0.6,1
SJ48K,circle,black,0.6,1
SD70N,circle,black,0.6,1
SD40R,circle,black,0.6,1
SJ39D,circle,black,0.6,1
SJ49P,circle,black,0.6,1
SD62Q,circle,black,0.6,1
SJ56X,circle,black,0.6,1
SJ54S,circle,black,0.6,1
SJ49I,circle,black,0.6,1
SJ49N,circle,black,0.6,1
SJ49M,circle,black,0.6,1
SD50P,circle,black,0.6,1
SJ59H,circle,black,0.6,1
SJ49K,circle,black,0.6,1
SJ49C,circle,black,0.6,1
SJ39B,circle,black,0.6,1
SJ37Z,circle,black,0.6,1
SD32K,circle,black,0.6,1
SJ18Z,circle,black,0.6,1
SJ38X,circle,black,0.6,1
SJ59J,circle,black,0.6,1
SJ57I,circle,black,0.6,1
SD90F,circle,black,0.6,1
SJ48B,circle,black,0.6,1
SJ39K,circle,black,0.6,1
SJ49J,circle,black,0.6,1
SJ79D,circle,black,0.6,1
SJ29F,circle,black,0.6,1
SJ38Z,circle,black,0.6,1
SD21V,circle,black,0.6,1
SD43B,circle,black,0.6,1
SD33V,circle,black,0.6,1
SD42D,circle,black,0.6,1
SJ97A,circle,black,0.6,1
SD41H,circle,black,0.6,1
SD70U,circle,black,0.6,1
SD71B,circle,black,0.6,1
SD20Z,circle,black,0.6,1
SJ86F,circle,black,0.6,1
SD71C,circle,black,0.6,1
SJ49A,circle,black,0.6,1
SD47Y,circle,black,0.6,1
SD71G,circle,black,0.6,1
SD57N,circle,black,0.6,1
SJ48E,circle,black,0.6,1
SJ27Y,circle,black,0.6,1
SJ48N,circle,black,0.6,1
SJ36X,circle,black,0.6,1
SJ77N,circle,black,0.6,1
SJ89L,circle,black,0.6,1
SJ68I,circle,black,0.6,1
SD52P,circle,black,0.6,1
SJ37Y,circle,black,0.6,1
SD41F,circle,black,0.6,1
SJ38P,circle,black,0.6,1
SJ39H,circle,black,0.6,1
SJ89R,circle,black,0.6,1
SJ58D,circle,black,0.6,1
SD53A,circle,black,0.6,1
SD53V,circle,black,0.6,1
SJ68J,circle,black,0.6,1
SJ59D,circle,black,0.6,1
SD30M,circle,black,0.6,1
SJ38E,circle,black,0.6,1
SJ89J,circle,black,0.6,1
SD30A,circle,black,0.6,1
SJ55P,circle,black,0.6,1
SJ78U,circle,black,0.6,1
SD70V,circle,black,0.6,1
SJ55U,circle,black,0.6,1
SD52T,circle,black,0.6,1
SD44P,circle,black,0.6,1
SD52S,circle,black,0.6,1
SD46K,circle,black,0.6,1
SD47S,circle,black,0.6,1
SJ99A,circle,black,0.6,1
SD20W,circle,black,0.6,1
SD66J,circle,black,0.6,1
SD56R,circle,black,0.6,1
SD43K,circle,black,0.6,1
SD55W,circle,black,0.6,1
SD45I,circle,black,0.6,1
SD65B,circle,black,0.6,1
SD45Q,circle,black,0.6,1
SJ97M,circle,black,0.6,1
SD61B,circle,black,0.6,1
SJ66N,circle,black,0.6,1
SD44S,circle,black,0.6,1
SJ47G,circle,black,0.6,1
SJ98C,circle,black,0.6,1
SJ56Y,circle,black,0.6,1
SJ64R,circle,black,0.6,1
SJ58N,circle,black,0.6,1
SJ58B,circle,black,0.6,1
SD43W,circle,black,0.6,1
SJ46Y,circle,black,0.6,1
SD83U,circle,black,0.6,1
SD83D,circle,black,0.6,1
SD20T,circle,black,0.6,1
SJ89U,circle,black,0.6,1
SJ55F,circle,black,0.6,1
SJ58C,circle,black,0.6,1
SD41K,circle,black,0.6,1
SJ99C,circle,black,0.6,1
SJ58G,circle,black,0.6,1
SD72Y,circle,black,0.6,1
SJ47X,circle,black,0.6,1
SJ46I,circle,black,0.6,1
SJ38C,circle,black,0.6,1
SD71V,circle,black,0.6,1
SD50Z,circle,black,0.6,1
SD46Q,circle,black,0.6,1
SD33C,circle,black,0.6,1
SJ98P,circle,black,0.6,1
SJ79R,circle,black,0.6,1
SJ68E,circle,black,0.6,1
SJ88E,circle,black,0.6,1
SJ59S,circle,black,0.6,1
SJ88U,circle,black,0.6,1
SJ38H,circle,black,0.6,1
SD46G,circle,black,0.6,1
SJ99L,circle,black,0.6,1
SJ77P,circle,black,0.6,1
SJ47K,circle,black,0.6,1
SJ88P,circle,black,0.6,1
SJ75C,circle,black,0.6,1
SJ89Q,circle,black,0.6,1
SD83N,circle,black,0.6,1
SJ48J,circle,black,0.6,1
SJ89F,circle,black,0.6,1
SJ58K,circle,black,0.6,1
SJ59X,circle,black,0.6,1
SJ58Y,circle,black,0.6,1
SD32N,circle,black,0.6,1
SD31A,circle,black,0.6,1
SJ88M,circle,black,0.6,1
SJ38L,circle,black,0.6,1
SJ37M,circle,black,0.6,1
SJ89S,circle,black,0.6,1
SJ69V,circle,black,0.6,1
SD84W,circle,black,0.6,1
SD70Z,circle,black,0.6,1
SJ65R,circle,black,0.6,1
SD41R,circle,black,0.6,1
SJ49H,circle,black,0.6,1
SJ66P,circle,black,0.6,1
SJ48I,circle,black,0.6,1
SD62Y,circle,black,0.6,1
SD33E,circle,black,0.6,1
SD40D,circle,black,0.6,1
SD70J,circle,black,0.6,1
SJ66E,circle,black,0.6,1
SJ49T,circle,black,0.6,1
SJ39V,circle,black,0.6,1
SD31I,circle,black,0.6,1
SJ49Q,circle,black,0.6,1
SJ38U,circle,black,0.6,1
SJ87W,circle,black,0.6,1
SJ39W,circle,black,0.6,1
SD60V,circle,black,0.6,1
SJ48H,circle,black,0.6,1
SJ64Z,circle,black,0.6,1
SJ69R,circle,black,0.6,1
SJ99G,circle,black,0.6,1
SJ59L,circle,black,0.6,1
SD60E,circle,black,0.6,1
SJ55B,circle,black,0.6,1
SD44N,circle,black,0.6,1
SD51S,circle,black,0.6,1
SD47R,circle,black,0.6,1
SD61K,circle,black,0.6,1
SD61R,circle,black,0.6,1
SJ88T,circle,black,0.6,1
SD44E,circle,black,0.6,1
SJ65X,circle,black,0.6,1
SD31B,circle,black,0.6,1
SD32E,circle,black,0.6,1
SD32I,circle,black,0.6,1
SJ39F,circle,black,0.6,1
SD47W,circle,black,0.6,1
SJ46B,circle,black,0.6,1
SJ38K,circle,black,0.6,1
SJ37X,circle,black,0.6,1
SD67T,circle,black,0.6,1
SJ69Q,circle,black,0.6,1
SD55A,circle,black,0.6,1
SD57A,circle,black,0.6,1
SD67A,circle,black,0.6,1
SD45N,circle,black,0.6,1
SD46F,circle,black,0.6,1
SD46H,circle,black,0.6,1
SD45T,circle,black,0.6,1
SD46L,circle,black,0.6,1
SD66C,circle,black,0.6,1
SD56J,circle,black,0.6,1
SD66A,circle,black,0.6,1
SD57V,circle,black,0.6,1
SD56C,circle,black,0.6,1
SD52B,circle,black,0.6,1
SD56B,circle,black,0.6,1
SD34C,circle,black,0.6,1
SD34T,circle,black,0.6,1
SD33F,circle,black,0.6,1
SD54C,circle,black,0.6,1
SD32T,circle,black,0.6,1
SD43F,circle,black,0.6,1
SD33A,circle,black,0.6,1
SD56A,circle,black,0.6,1
SD32Z,circle,black,0.6,1
SD32P,circle,black,0.6,1
SD42I,circle,black,0.6,1
SD34J,circle,black,0.6,1
SD33L,circle,black,0.6,1
SD66W,circle,black,0.6,1
SD32J,circle,black,0.6,1
SD56N,circle,black,0.6,1
SJ78L,circle,black,0.6,1
SJ78M,circle,black,0.6,1
SD70S,circle,black,0.6,1
SD31C,circle,black,0.6,1
SD65P,circle,black,0.6,1
SD83L,circle,black,0.6,1
SD45L,circle,black,0.6,1
SD45J,circle,black,0.6,1
SD66Q,circle,black,0.6,1
SD34P,circle,black,0.6,1
SD57Y,circle,black,0.6,1
SD63V,circle,black,0.6,1
SD80I,circle,black,0.6,1
SD50G,circle,black,0.6,1
SD20U,circle,black,0.6,1
SD47V,circle,black,0.6,1
SD34H,circle,black,0.6,1
SJ88Z,circle,black,0.6,1
SD52R,circle,black,0.6,1
SD56Q,circle,black,0.6,1
SD57F,circle,black,0.6,1
SD57T,circle,black,0.6,1
SD47X,circle,black,0.6,1
SJ38Q,circle,black,0.6,1
SJ56I,circle,black,0.6,1
SJ28H,circle,black,0.6,1
SD83G,circle,black,0.6,1
SJ39U,circle,black,0.6,1
SD50E,circle,black,0.6,1
SJ98L,circle,black,0.6,1
SD33P,circle,black,0.6,1
SJ98G,circle,black,0.6,1
