gr,shape,colour,opacity,size
SD66B,triangle-up,magenta,0.6,1
SD57K,triangle-up,magenta,0.6,1
SD46W,triangle-up,magenta,0.6,1
SD46V,triangle-up,magenta,0.6,1
SD47T,triangle-up,magenta,0.6,1
SD45V,triangle-up,magenta,0.6,1
SD54M,triangle-up,magenta,0.6,1
SD57S,triangle-up,magenta,0.6,1
SD45M,triangle-up,magenta,0.6,1
SD57Q,triangle-up,magenta,0.6,1
SD34N,square,green,0.6,1
SD56Z,triangle-up,magenta,0.6,1
SD46A,square,green,0.6,1
SD45E,square,green,0.6,1
SD30P,square,green,0.6,1
SD53P,triangle-up,magenta,0.6,1
SD33W,triangle-down,blue,0.6,1
SD56F,triangle-up,magenta,0.6,1
SD46Z,triangle-up,magenta,0.6,1
SD53B,triangle-up,magenta,0.6,1
SJ65V,square,green,0.6,1
SD56X,triangle-up,magenta,0.6,1
SD56S,triangle-up,magenta,0.6,1
SD56T,triangle-up,magenta,0.6,1
SD43T,triangle-up,magenta,0.6,1
SD57B,triangle-up,magenta,0.6,1
SJ58Z,triangle-up,magenta,0.6,1
SJ28E,square,green,0.6,1
SJ68D,triangle-up,magenta,0.6,1
SJ64J,square,green,0.6,1
SJ29K,square,green,0.6,1
SJ76C,square,green,0.6,1
SJ67M,triangle-up,magenta,0.6,1
SJ69Y,square,green,0.6,1
SJ69K,triangle-down,blue,0.6,1
SJ88F,square,green,0.6,1
SD41M,triangle-up,magenta,0.6,1
SJ58T,triangle-up,magenta,0.6,1
SJ56U,square,green,0.6,1
SD20X,square,green,0.6,1
SJ57A,triangle-up,magenta,0.6,1
SJ89V,triangle-up,magenta,0.6,1
SJ57K,square,green,0.6,1
SJ57L,square,green,0.6,1
SJ56Z,square,green,0.6,1
SJ69W,square,green,0.6,1
SJ67F,triangle-down,blue,0.6,1
SJ58L,square,green,0.6,1
SJ68N,triangle-up,magenta,0.6,1
SJ57V,triangle-up,magenta,0.6,1
SJ37B,square,green,0.6,1
SD34M,triangle-up,magenta,0.6,1
SJ67S,triangle-down,blue,0.6,1
SJ87N,square,green,0.6,1
SJ88B,triangle-up,magenta,0.6,1
SJ99Q,triangle-up,magenta,0.6,1
SJ57J,triangle-up,magenta,0.6,1
SJ28M,square,green,0.6,1
SJ39M,triangle-up,magenta,0.6,1
SJ58A,square,green,0.6,1
SJ86D,triangle-up,magenta,0.6,1
SJ59G,square,green,0.6,1
SJ59I,square,green,0.6,1
SJ69C,square,green,0.6,1
SD61L,square,green,0.6,1
SD90B,triangle-up,magenta,0.6,1
SJ69J,square,green,0.6,1
SJ57E,triangle-up,magenta,0.6,1
SJ48W,square,green,0.6,1
SJ58E,triangle-up,magenta,0.6,1
SJ69P,triangle-up,magenta,0.6,1
SD31V,triangle-up,magenta,0.6,1
SJ48K,triangle-up,magenta,0.6,1
SJ38M,triangle-down,blue,0.6,1
SD70N,triangle-up,magenta,0.6,1
SD40R,triangle-up,magenta,0.6,1
SJ39D,triangle-up,magenta,0.6,1
SJ38P,square,green,0.6,1
SJ49P,square,green,0.6,1
SD62Q,triangle-up,magenta,0.6,1
SJ56X,square,green,0.6,1
SJ54S,triangle-up,magenta,0.6,1
SJ49I,square,green,0.6,1
SJ49N,triangle-up,magenta,0.6,1
SJ49M,square,green,0.6,1
SD50P,triangle-up,magenta,0.6,1
SJ59H,triangle-up,magenta,0.6,1
SJ49K,square,green,0.6,1
SJ49C,triangle-up,magenta,0.6,1
SJ39B,triangle-up,magenta,0.6,1
SJ37Z,triangle-up,magenta,0.6,1
SD32K,square,green,0.6,1
SD30L,triangle-down,blue,0.6,1
SJ18Z,triangle-up,magenta,0.6,1
SJ38X,triangle-up,magenta,0.6,1
SJ59J,square,green,0.6,1
