gr,richness,caption,colour,shape,opacity,size
NJ93A,523,Number of taxa: 523,#BCC812,circle,0.9,0.9
NJ94A,455,Number of taxa: 455,#C1E311,circle,0.9,0.9
NJ95A,478,Number of taxa: 478,#C1E311,circle,0.9,0.9
NJ96A,555,Number of taxa: 555,#BCC812,circle,0.9,0.9
NM49A,691,Number of taxa: 691,#BCC812,circle,0.9,0.9
NM54A,644,Number of taxa: 644,#BCC812,circle,0.9,0.9
NM55A,664,Number of taxa: 664,#BCC812,circle,0.9,0.9
NM56A,583,Number of taxa: 583,#BCC812,circle,0.9,0.9
NM62A,526,Number of taxa: 526,#BCC812,circle,0.9,0.9
NM64A,596,Number of taxa: 596,#BCC812,circle,0.9,0.9
NM67A,562,Number of taxa: 562,#BCC812,circle,0.9,0.9
NM68A,562,Number of taxa: 562,#BCC812,circle,0.9,0.9
NM69A,496,Number of taxa: 496,#C1E311,circle,0.9,0.9
NM70A,566,Number of taxa: 566,#BCC812,circle,0.9,0.9
NM71A,630,Number of taxa: 630,#BCC812,circle,0.9,0.9
NM77A,474,Number of taxa: 474,#C1E311,circle,0.9,0.9
NM80A,690,Number of taxa: 690,#BCC812,circle,0.9,0.9
NM81A,607,Number of taxa: 607,#BCC812,circle,0.9,0.9
NM82A,693,Number of taxa: 693,#BCC812,circle,0.9,0.9
NM83A,710,Number of taxa: 710,#BCC812,circle,0.9,0.9
NM86A,539,Number of taxa: 539,#BCC812,circle,0.9,0.9
NM87A,291,Number of taxa: 291,#C1E311,circle,0.9,0.9
NM90A,498,Number of taxa: 498,#C1E311,circle,0.9,0.9
NM91A,504,Number of taxa: 504,#BCC812,circle,0.9,0.9
NM92A,472,Number of taxa: 472,#C1E311,circle,0.9,0.9
NM93A,703,Number of taxa: 703,#BCC812,circle,0.9,0.9
NM94A,650,Number of taxa: 650,#BCC812,circle,0.9,0.9
NN00A,580,Number of taxa: 580,#BCC812,circle,0.9,0.9
NN02A,610,Number of taxa: 610,#BCC812,circle,0.9,0.9
NN03A,585,Number of taxa: 585,#BCC812,circle,0.9,0.9
NN05A,613,Number of taxa: 613,#BCC812,circle,0.9,0.9
NN10A,541,Number of taxa: 541,#BCC812,circle,0.9,0.9
NN11A,552,Number of taxa: 552,#BCC812,circle,0.9,0.9
NN12A,601,Number of taxa: 601,#BCC812,circle,0.9,0.9
NN16A,538,Number of taxa: 538,#BCC812,circle,0.9,0.9
NN17A,685,Number of taxa: 685,#BCC812,circle,0.9,0.9
NN18A,567,Number of taxa: 567,#BCC812,circle,0.9,0.9
NN20A,595,Number of taxa: 595,#BCC812,circle,0.9,0.9
NN33A,498,Number of taxa: 498,#C1E311,circle,0.9,0.9
NN40A,548,Number of taxa: 548,#BCC812,circle,0.9,0.9
NN45A,475,Number of taxa: 475,#C1E311,circle,0.9,0.9
NN50A,737,Number of taxa: 737,#BCC812,circle,0.9,0.9
NN58A,447,Number of taxa: 447,#C1E311,circle,0.9,0.9
NN62A,538,Number of taxa: 538,#BCC812,circle,0.9,0.9
NN65A,585,Number of taxa: 585,#BCC812,circle,0.9,0.9
NN70A,749,Number of taxa: 749,#BCC812,circle,0.9,0.9
NN72A,642,Number of taxa: 642,#BCC812,circle,0.9,0.9
NN74A,718,Number of taxa: 718,#BCC812,circle,0.9,0.9
NN81A,630,Number of taxa: 630,#BCC812,circle,0.9,0.9
NN82A,686,Number of taxa: 686,#BCC812,circle,0.9,0.9
NN84A,655,Number of taxa: 655,#BCC812,circle,0.9,0.9
NN85A,635,Number of taxa: 635,#BCC812,circle,0.9,0.9
NN86A,731,Number of taxa: 731,#BCC812,circle,0.9,0.9
NN91A,639,Number of taxa: 639,#BCC812,circle,0.9,0.9
NN92A,511,Number of taxa: 511,#BCC812,circle,0.9,0.9
