gr,freq,shape,colour,opacity,size
B61M,1,circlerad,black,0.8,1
B61N,1,circlerad,black,0.8,1
B61R,3,circlerad,black,0.8,1
B61T,1,circlerad,black,0.8,1
B61X,7,circlerad,black,0.8,1
B61Y,1,circlerad,black,0.8,1
B70A,1,circlerad,black,0.8,1
B70E,1,circlerad,black,0.8,1
B70I,1,circlerad,black,0.8,1
B70L,3,circlerad,black,0.8,1
B70M,1,circlerad,black,0.8,1
B70N,1,circlerad,black,0.8,1
B70P,1,circlerad,black,0.8,1
B71A,1,circlerad,black,0.8,1
B71B,4,circlerad,black,0.8,1
B71C,2,circlerad,black,0.8,1
B71I,2,circlerad,black,0.8,1
B72K,1,circlerad,black,0.8,1
B72T,5,circlerad,black,0.8,1
B72W,2,circlerad,black,0.8,1
B72Z,2,circlerad,black,0.8,1
B73V,1,circlerad,black,0.8,1
B80M,1,circlerad,black,0.8,1
B80N,1,circlerad,black,0.8,1
B80T,1,circlerad,black,0.8,1
B81B,2,circlerad,black,0.8,1
B81E,1,circlerad,black,0.8,1
B82B,1,circlerad,black,0.8,1
B82C,2,circlerad,black,0.8,1
B82D,1,circlerad,black,0.8,1
B82Q,1,circlerad,black,0.8,1
B83A,2,circlerad,black,0.8,1
B83B,1,circlerad,black,0.8,1
B83L,1,circlerad,black,0.8,1
B83W,3,circlerad,black,0.8,1
B84N,18,circlerad,black,0.8,1
B84S,2,circlerad,black,0.8,1
B90A,2,circlerad,black,0.8,1
B90G,1,circlerad,black,0.8,1
B90L,1,circlerad,black,0.8,1
B90Q,1,circlerad,black,0.8,1
B90Y,1,circlerad,black,0.8,1
B91A,1,circlerad,black,0.8,1
B91G,1,circlerad,black,0.8,1
B91J,2,circlerad,black,0.8,1
B91W,1,circlerad,black,0.8,1
B92A,1,circlerad,black,0.8,1
B92B,2,circlerad,black,0.8,1
B92D,1,circlerad,black,0.8,1
B92E,1,circlerad,black,0.8,1
B92L,2,circlerad,black,0.8,1
B92U,1,circlerad,black,0.8,1
B92Y,1,circlerad,black,0.8,1
B93C,1,circlerad,black,0.8,1
B93F,1,circlerad,black,0.8,1
B93G,1,circlerad,black,0.8,1
B93H,2,circlerad,black,0.8,1
B93L,1,circlerad,black,0.8,1
B93M,2,circlerad,black,0.8,1
B93S,1,circlerad,black,0.8,1
B93X,2,circlerad,black,0.8,1
B93Y,3,circlerad,black,0.8,1
B94V,2,circlerad,black,0.8,1
C00A,3,circlerad,black,0.8,1
C00F,1,circlerad,black,0.8,1
C00P,2,circlerad,black,0.8,1
C00W,1,circlerad,black,0.8,1
C01A,1,circlerad,black,0.8,1
C01E,1,circlerad,black,0.8,1
C01M,1,circlerad,black,0.8,1
C01N,1,circlerad,black,0.8,1
C01P,1,circlerad,black,0.8,1
C01Q,1,circlerad,black,0.8,1
C01T,2,circlerad,black,0.8,1
C01U,1,circlerad,black,0.8,1
C01X,1,circlerad,black,0.8,1
C02C,1,circlerad,black,0.8,1
C02F,1,circlerad,black,0.8,1
C02G,1,circlerad,black,0.8,1
C02L,1,circlerad,black,0.8,1
C02U,1,circlerad,black,0.8,1
C03A,1,circlerad,black,0.8,1
C03C,1,circlerad,black,0.8,1
C03D,6,circlerad,black,0.8,1
C03E,1,circlerad,black,0.8,1
C03G,1,circlerad,black,0.8,1
C03M,1,circlerad,black,0.8,1
C03N,3,circlerad,black,0.8,1
C03Q,1,circlerad,black,0.8,1
C03S,2,circlerad,black,0.8,1
C03V,1,circlerad,black,0.8,1
C03X,2,circlerad,black,0.8,1
C04A,2,circlerad,black,0.8,1
C04F,1,circlerad,black,0.8,1
C04V,1,circlerad,black,0.8,1
C10E,2,circlerad,black,0.8,1
C10J,1,circlerad,black,0.8,1
C10L,1,circlerad,black,0.8,1
C10P,1,circlerad,black,0.8,1
C10Q,1,circlerad,black,0.8,1
C10R,1,circlerad,black,0.8,1
C10W,1,circlerad,black,0.8,1
C10Z,1,circlerad,black,0.8,1
C11A,1,circlerad,black,0.8,1
C11B,2,circlerad,black,0.8,1
C11D,1,circlerad,black,0.8,1
C11J,1,circlerad,black,0.8,1
C11T,1,circlerad,black,0.8,1
C11W,1,circlerad,black,0.8,1
C11Y,2,circlerad,black,0.8,1
C12C,1,circlerad,black,0.8,1
C12I,2,circlerad,black,0.8,1
C12K,1,circlerad,black,0.8,1
C12Q,1,circlerad,black,0.8,1
C12R,1,circlerad,black,0.8,1
C12T,1,circlerad,black,0.8,1
C12V,2,circlerad,black,0.8,1
C12Y,1,circlerad,black,0.8,1
C12Z,1,circlerad,black,0.8,1
C13A,1,circlerad,black,0.8,1
C13C,1,circlerad,black,0.8,1
C13E,2,circlerad,black,0.8,1
C13V,1,circlerad,black,0.8,1
C13Y,1,circlerad,black,0.8,1
C13Z,1,circlerad,black,0.8,1
C14G,1,circlerad,black,0.8,1
C14H,2,circlerad,black,0.8,1
C14K,2,circlerad,black,0.8,1
C14R,1,circlerad,black,0.8,1
C14S,1,circlerad,black,0.8,1
C20F,2,circlerad,black,0.8,1
C20K,1,circlerad,black,0.8,1
C20L,3,circlerad,black,0.8,1
C20M,1,circlerad,black,0.8,1
C20T,1,circlerad,black,0.8,1
C20V,12,circlerad,black,0.8,1
C20X,1,circlerad,black,0.8,1
C21A,1,circlerad,black,0.8,1
C21B,1,circlerad,black,0.8,1
C21I,1,circlerad,black,0.8,1
C21J,1,circlerad,black,0.8,1
C21K,2,circlerad,black,0.8,1
C21N,1,circlerad,black,0.8,1
C21P,1,circlerad,black,0.8,1
C21U,1,circlerad,black,0.8,1
C22A,4,circlerad,black,0.8,1
C22E,1,circlerad,black,0.8,1
C22F,1,circlerad,black,0.8,1
C22M,1,circlerad,black,0.8,1
C22Q,1,circlerad,black,0.8,1
C22Z,2,circlerad,black,0.8,1
C23A,1,circlerad,black,0.8,1
C23D,1,circlerad,black,0.8,1
C23J,1,circlerad,black,0.8,1
C23L,1,circlerad,black,0.8,1
C23M,1,circlerad,black,0.8,1
C23S,1,circlerad,black,0.8,1
C23W,1,circlerad,black,0.8,1
C23Z,1,circlerad,black,0.8,1
C24A,1,circlerad,black,0.8,1
C24C,2,circlerad,black,0.8,1
C24D,1,circlerad,black,0.8,1
C24H,1,circlerad,black,0.8,1
C24I,3,circlerad,black,0.8,1
C24K,2,circlerad,black,0.8,1
C24L,1,circlerad,black,0.8,1
C30B,1,circlerad,black,0.8,1
C30J,1,circlerad,black,0.8,1
C30K,2,circlerad,black,0.8,1
C30L,1,circlerad,black,0.8,1
C30P,1,circlerad,black,0.8,1
C30R,5,circlerad,black,0.8,1
C31E,5,circlerad,black,0.8,1
C31F,2,circlerad,black,0.8,1
C31I,1,circlerad,black,0.8,1
C31K,4,circlerad,black,0.8,1
C31M,4,circlerad,black,0.8,1
C31Q,3,circlerad,black,0.8,1
C31V,1,circlerad,black,0.8,1
C32B,1,circlerad,black,0.8,1
C32C,1,circlerad,black,0.8,1
C32D,1,circlerad,black,0.8,1
C32E,1,circlerad,black,0.8,1
C32F,1,circlerad,black,0.8,1
C32H,2,circlerad,black,0.8,1
C32K,1,circlerad,black,0.8,1
C32L,4,circlerad,black,0.8,1
C32Z,1,circlerad,black,0.8,1
C33A,3,circlerad,black,0.8,1
C33G,2,circlerad,black,0.8,1
C33H,1,circlerad,black,0.8,1
C34B,1,circlerad,black,0.8,1
C34C,4,circlerad,black,0.8,1
C34J,1,circlerad,black,0.8,1
C34N,2,circlerad,black,0.8,1
C34S,1,circlerad,black,0.8,1
C34U,1,circlerad,black,0.8,1
C34W,1,circlerad,black,0.8,1
C34Z,1,circlerad,black,0.8,1
C35V,1,circlerad,black,0.8,1
C35W,1,circlerad,black,0.8,1
C35Z,2,circlerad,black,0.8,1
C40B,1,circlerad,black,0.8,1
C40C,4,circlerad,black,0.8,1
C40G,1,circlerad,black,0.8,1
C40H,15,circlerad,black,0.8,1
C40K,16,circlerad,black,0.8,1
C40L,4,circlerad,black,0.8,1
C40M,4,circlerad,black,0.8,1
C40R,1,circlerad,black,0.8,1
C40S,1,circlerad,black,0.8,1
C40V,4,circlerad,black,0.8,1
C40W,2,circlerad,black,0.8,1
C40X,1,circlerad,black,0.8,1
C40Y,13,circlerad,black,0.8,1
C41B,3,circlerad,black,0.8,1
C41C,1,circlerad,black,0.8,1
C41E,1,circlerad,black,0.8,1
C41H,6,circlerad,black,0.8,1
C41L,1,circlerad,black,0.8,1
C41N,2,circlerad,black,0.8,1
C41P,10,circlerad,black,0.8,1
C41Q,1,circlerad,black,0.8,1
C41R,6,circlerad,black,0.8,1
C41S,1,circlerad,black,0.8,1
C41T,2,circlerad,black,0.8,1
C41U,20,circlerad,black,0.8,1
C41V,4,circlerad,black,0.8,1
C41W,2,circlerad,black,0.8,1
C41Y,1,circlerad,black,0.8,1
C42E,1,circlerad,black,0.8,1
C42K,6,circlerad,black,0.8,1
C42M,2,circlerad,black,0.8,1
C42Q,4,circlerad,black,0.8,1
C42R,4,circlerad,black,0.8,1
C42V,6,circlerad,black,0.8,1
C42W,3,circlerad,black,0.8,1
C43N,2,circlerad,black,0.8,1
C43R,1,circlerad,black,0.8,1
C43T,2,circlerad,black,0.8,1
C44B,1,circlerad,black,0.8,1
C44E,1,circlerad,black,0.8,1
C44M,2,circlerad,black,0.8,1
C45B,2,circlerad,black,0.8,1
C45C,1,circlerad,black,0.8,1
C45F,3,circlerad,black,0.8,1
C45G,1,circlerad,black,0.8,1
C45K,1,circlerad,black,0.8,1
C46X,3,circlerad,black,0.8,1
C50A,1,circlerad,black,0.8,1
C50D,7,circlerad,black,0.8,1
C50E,5,circlerad,black,0.8,1
C50I,8,circlerad,black,0.8,1
C50J,2,circlerad,black,0.8,1
C50L,1,circlerad,black,0.8,1
C50M,1,circlerad,black,0.8,1
C50N,2,circlerad,black,0.8,1
C50R,4,circlerad,black,0.8,1
C50S,1,circlerad,black,0.8,1
C50U,1,circlerad,black,0.8,1
C50V,2,circlerad,black,0.8,1
C50W,2,circlerad,black,0.8,1
C51A,19,circlerad,black,0.8,1
C51E,1,circlerad,black,0.8,1
C51F,9,circlerad,black,0.8,1
C51I,4,circlerad,black,0.8,1
C51J,16,circlerad,black,0.8,1
C51M,3,circlerad,black,0.8,1
C51P,1,circlerad,black,0.8,1
C51R,3,circlerad,black,0.8,1
C51T,3,circlerad,black,0.8,1
C51U,4,circlerad,black,0.8,1
C51W,6,circlerad,black,0.8,1
C52A,1,circlerad,black,0.8,1
C52B,4,circlerad,black,0.8,1
C52E,2,circlerad,black,0.8,1
C52F,3,circlerad,black,0.8,1
C52G,7,circlerad,black,0.8,1
C52K,1,circlerad,black,0.8,1
C52L,1,circlerad,black,0.8,1
C52Q,3,circlerad,black,0.8,1
C52W,1,circlerad,black,0.8,1
C53A,1,circlerad,black,0.8,1
C54A,1,circlerad,black,0.8,1
C54B,1,circlerad,black,0.8,1
C54I,1,circlerad,black,0.8,1
C54J,2,circlerad,black,0.8,1
C54P,3,circlerad,black,0.8,1
C54R,1,circlerad,black,0.8,1
C54U,1,circlerad,black,0.8,1
C54W,2,circlerad,black,0.8,1
C54Y,3,circlerad,black,0.8,1
C55C,1,circlerad,black,0.8,1
C55F,1,circlerad,black,0.8,1
C55G,1,circlerad,black,0.8,1
C60A,1,circlerad,black,0.8,1
C60G,1,circlerad,black,0.8,1
C60H,3,circlerad,black,0.8,1
C60L,5,circlerad,black,0.8,1
C60M,3,circlerad,black,0.8,1
C60N,2,circlerad,black,0.8,1
C60P,6,circlerad,black,0.8,1
C60R,5,circlerad,black,0.8,1
C60S,14,circlerad,black,0.8,1
C60T,2,circlerad,black,0.8,1
C60X,3,circlerad,black,0.8,1
C60Y,1,circlerad,black,0.8,1
C60Z,5,circlerad,black,0.8,1
C61K,8,circlerad,black,0.8,1
C61U,2,circlerad,black,0.8,1
C61V,8,circlerad,black,0.8,1
C61Z,2,circlerad,black,0.8,1
C62A,1,circlerad,black,0.8,1
C62B,3,circlerad,black,0.8,1
C62C,1,circlerad,black,0.8,1
C62F,1,circlerad,black,0.8,1
C62G,2,circlerad,black,0.8,1
C62H,3,circlerad,black,0.8,1
C62I,3,circlerad,black,0.8,1
C62J,1,circlerad,black,0.8,1
C62L,2,circlerad,black,0.8,1
C62P,13,circlerad,black,0.8,1
C62Q,8,circlerad,black,0.8,1
C62R,3,circlerad,black,0.8,1
C62S,2,circlerad,black,0.8,1
C62U,3,circlerad,black,0.8,1
C62V,1,circlerad,black,0.8,1
C62W,2,circlerad,black,0.8,1
C62X,1,circlerad,black,0.8,1
C62Z,3,circlerad,black,0.8,1
C63E,1,circlerad,black,0.8,1
C63J,1,circlerad,black,0.8,1
C63K,2,circlerad,black,0.8,1
C63Q,5,circlerad,black,0.8,1
C63R,1,circlerad,black,0.8,1
