gr,freq,shape,colour,opacity,size
B70,2,square,black,0.8,1
B84,2,square,black,0.8,1
C03,2,square,black,0.8,1
C35,1,square,black,0.8,1
C45,3,square,black,0.8,1
C46,1,square,black,0.8,1
C64,1,square,black,0.8,1
C73,2,square,black,0.8,1
C83,5,square,black,0.8,1
C84,3,square,black,0.8,1
C94,2,square,black,0.8,1
D04,3,square,black,0.8,1
D00,2,square,black,0.8,1
D14,2,square,black,0.8,1
D10,2,square,black,0.8,1
D24,1,square,black,0.8,1
D22,2,square,black,0.8,1
D31,3,square,black,0.8,1
D30,1,square,black,0.8,1
D40,2,square,black,0.8,1
D50,1,square,black,0.8,1
F52,1,square,black,0.8,1
F62,2,square,black,0.8,1
F61,1,square,black,0.8,1
F63,2,square,black,0.8,1
F84,1,square,black,0.8,1
G04,1,square,black,0.8,1
G43,1,square,black,0.8,1
G53,1,square,black,0.8,1
G62,1,square,black,0.8,1
G65,1,square,black,0.8,1
G69,1,square,black,0.8,1
G75,1,square,black,0.8,1
G79,1,square,black,0.8,1
G97,1,square,black,0.8,1
H37,1,square,black,0.8,1
H47,2,square,black,0.8,1
H58,1,square,black,0.8,1
H57,1,square,black,0.8,1
H65,1,square,black,0.8,1
H76,3,square,black,0.8,1
H77,1,square,black,0.8,1
H86,5,square,black,0.8,1
H87,4,square,black,0.8,1
H85,2,square,black,0.8,1
H88,1,square,black,0.8,1
H84,1,square,black,0.8,1
H89,1,square,black,0.8,1
H95,3,square,black,0.8,1
H96,2,square,black,0.8,1
H99,2,square,black,0.8,1
H94,2,square,black,0.8,1
H91,1,square,black,0.8,1
HU15,1,square,black,0.8,1
HU27,1,square,black,0.8,1
HU37,2,square,black,0.8,1
HU35,1,square,black,0.8,1
HU36,1,square,black,0.8,1
HU40,1,square,black,0.8,1
HU44,2,square,black,0.8,1
HU42,2,square,black,0.8,1
J05,8,square,black,0.8,1
J08,2,square,black,0.8,1
J09,2,square,black,0.8,1
J00,2,square,black,0.8,1
J04,1,square,black,0.8,1
J06,3,square,black,0.8,1
J02,5,square,black,0.8,1
J01,1,square,black,0.8,1
J03,4,square,black,0.8,1
J13,1,square,black,0.8,1
J14,8,square,black,0.8,1
J16,5,square,black,0.8,1
J12,2,square,black,0.8,1
J11,8,square,black,0.8,1
J18,1,square,black,0.8,1
J15,4,square,black,0.8,1
J21,7,square,black,0.8,1
J23,2,square,black,0.8,1
J25,5,square,black,0.8,1
