gr,freq,shape,colour,opacity,size
B61N,1,circle,black,0.8,1
B61P,1,circle,black,0.8,1
B61R,3,circle,black,0.8,1
B61T,1,circle,black,0.8,1
B61X,3,circle,black,0.8,1
B61Y,1,circle,black,0.8,1
B70A,1,circle,black,0.8,1
B70E,1,circle,black,0.8,1
B70L,5,circle,black,0.8,1
B70N,1,circle,black,0.8,1
B70P,1,circle,black,0.8,1
B70Q,3,circle,black,0.8,1
B70V,1,circle,black,0.8,1
B71A,1,circle,black,0.8,1
B71B,3,circle,black,0.8,1
B71C,1,circle,black,0.8,1
B71I,1,circle,black,0.8,1
B71P,2,circle,black,0.8,1
B72G,1,circle,black,0.8,1
B72K,2,circle,black,0.8,1
B72Q,1,circle,black,0.8,1
B72T,1,circle,black,0.8,1
B72W,3,circle,black,0.8,1
B72X,1,circle,black,0.8,1
B72Z,2,circle,black,0.8,1
B73V,1,circle,black,0.8,1
B80G,1,circle,black,0.8,1
B80N,1,circle,black,0.8,1
B80T,1,circle,black,0.8,1
B81B,2,circle,black,0.8,1
B81E,1,circle,black,0.8,1
B81J,1,circle,black,0.8,1
B82B,1,circle,black,0.8,1
B82E,2,circle,black,0.8,1
B82Q,1,circle,black,0.8,1
B83A,1,circle,black,0.8,1
B83B,1,circle,black,0.8,1
B83L,1,circle,black,0.8,1
B83W,1,circle,black,0.8,1
B84N,7,circle,black,0.8,1
B84S,4,circle,black,0.8,1
B90A,2,circle,black,0.8,1
B90L,3,circle,black,0.8,1
B90R,1,circle,black,0.8,1
B90S,1,circle,black,0.8,1
B91A,1,circle,black,0.8,1
B91E,1,circle,black,0.8,1
B91J,1,circle,black,0.8,1
B91Y,1,circle,black,0.8,1
B92A,1,circle,black,0.8,1
B92B,1,circle,black,0.8,1
B92E,1,circle,black,0.8,1
B92L,1,circle,black,0.8,1
B92U,1,circle,black,0.8,1
B92Y,1,circle,black,0.8,1
B93G,2,circle,black,0.8,1
B93L,1,circle,black,0.8,1
B93M,2,circle,black,0.8,1
B93X,1,circle,black,0.8,1
B94V,2,circle,black,0.8,1
C00A,3,circle,black,0.8,1
C00F,1,circle,black,0.8,1
C00J,2,circle,black,0.8,1
C00P,2,circle,black,0.8,1
C01B,1,circle,black,0.8,1
C01M,1,circle,black,0.8,1
C01N,1,circle,black,0.8,1
C01T,1,circle,black,0.8,1
C01X,1,circle,black,0.8,1
C02C,1,circle,black,0.8,1
C02G,2,circle,black,0.8,1
C02M,1,circle,black,0.8,1
C02U,1,circle,black,0.8,1
C03A,1,circle,black,0.8,1
C03C,1,circle,black,0.8,1
C03D,4,circle,black,0.8,1
C03N,2,circle,black,0.8,1
C03Q,2,circle,black,0.8,1
C03S,1,circle,black,0.8,1
C03X,2,circle,black,0.8,1
C04A,2,circle,black,0.8,1
C04F,1,circle,black,0.8,1
C04V,1,circle,black,0.8,1
C10L,1,circle,black,0.8,1
C10P,1,circle,black,0.8,1
C10R,1,circle,black,0.8,1
C11A,1,circle,black,0.8,1
C11D,1,circle,black,0.8,1
C12G,1,circle,black,0.8,1
C12I,2,circle,black,0.8,1
C12L,1,circle,black,0.8,1
C12V,1,circle,black,0.8,1
C12Z,1,circle,black,0.8,1
C13A,1,circle,black,0.8,1
C13C,1,circle,black,0.8,1
C13I,2,circle,black,0.8,1
C13V,1,circle,black,0.8,1
C13Y,1,circle,black,0.8,1
C13Z,1,circle,black,0.8,1
C14B,1,circle,black,0.8,1
C14H,1,circle,black,0.8,1
C14R,1,circle,black,0.8,1
C20H,1,circle,black,0.8,1
C20L,2,circle,black,0.8,1
C20V,5,circle,black,0.8,1
C21A,1,circle,black,0.8,1
C21B,1,circle,black,0.8,1
C21D,1,circle,black,0.8,1
C21J,1,circle,black,0.8,1
C21K,1,circle,black,0.8,1
C22F,1,circle,black,0.8,1
C22M,1,circle,black,0.8,1
C22P,1,circle,black,0.8,1
C22Z,1,circle,black,0.8,1
C23D,1,circle,black,0.8,1
C23M,1,circle,black,0.8,1
C23S,1,circle,black,0.8,1
C23W,1,circle,black,0.8,1
C23Z,1,circle,black,0.8,1
C24A,1,circle,black,0.8,1
C24B,2,circle,black,0.8,1
C24I,3,circle,black,0.8,1
C24K,3,circle,black,0.8,1
C30K,2,circle,black,0.8,1
C30L,1,circle,black,0.8,1
C30M,1,circle,black,0.8,1
C30P,1,circle,black,0.8,1
C30R,1,circle,black,0.8,1
C31E,5,circle,black,0.8,1
C31F,2,circle,black,0.8,1
C31K,2,circle,black,0.8,1
C31M,3,circle,black,0.8,1
C31Q,3,circle,black,0.8,1
C31U,1,circle,black,0.8,1
C32B,1,circle,black,0.8,1
C32D,1,circle,black,0.8,1
C32F,1,circle,black,0.8,1
C32L,3,circle,black,0.8,1
C32Z,1,circle,black,0.8,1
C33A,2,circle,black,0.8,1
C33G,1,circle,black,0.8,1
C33H,1,circle,black,0.8,1
C34B,1,circle,black,0.8,1
C34C,4,circle,black,0.8,1
C34J,1,circle,black,0.8,1
C34L,1,circle,black,0.8,1
C34S,1,circle,black,0.8,1
C34W,2,circle,black,0.8,1
C34Z,1,circle,black,0.8,1
C35W,1,circle,black,0.8,1
C35Z,2,circle,black,0.8,1
C36V,1,circle,black,0.8,1
C40F,1,circle,black,0.8,1
C40K,3,circle,black,0.8,1
C40T,1,circle,black,0.8,1
C40V,1,circle,black,0.8,1
C40Y,5,circle,black,0.8,1
C41B,8,circle,black,0.8,1
C41H,4,circle,black,0.8,1
C41I,1,circle,black,0.8,1
C41N,1,circle,black,0.8,1
C41P,9,circle,black,0.8,1
C41R,1,circle,black,0.8,1
C41T,1,circle,black,0.8,1
C41U,5,circle,black,0.8,1
C41V,1,circle,black,0.8,1
C42E,1,circle,black,0.8,1
C42K,1,circle,black,0.8,1
C42M,2,circle,black,0.8,1
C42R,5,circle,black,0.8,1
C42V,1,circle,black,0.8,1
C42W,4,circle,black,0.8,1
C43N,2,circle,black,0.8,1
C43R,1,circle,black,0.8,1
C43T,1,circle,black,0.8,1
C43Y,1,circle,black,0.8,1
C44B,1,circle,black,0.8,1
C44E,1,circle,black,0.8,1
C44M,1,circle,black,0.8,1
C44X,2,circle,black,0.8,1
C45B,1,circle,black,0.8,1
C45C,1,circle,black,0.8,1
C45F,2,circle,black,0.8,1
C45G,1,circle,black,0.8,1
C46X,1,circle,black,0.8,1
C50A,1,circle,black,0.8,1
C50D,1,circle,black,0.8,1
C50I,5,circle,black,0.8,1
C50K,1,circle,black,0.8,1
C50S,1,circle,black,0.8,1
C50U,1,circle,black,0.8,1
C50V,3,circle,black,0.8,1
C51A,7,circle,black,0.8,1
C51F,6,circle,black,0.8,1
C51J,9,circle,black,0.8,1
C51T,3,circle,black,0.8,1
C51U,1,circle,black,0.8,1
C51W,7,circle,black,0.8,1
C52F,1,circle,black,0.8,1
C52G,6,circle,black,0.8,1
C52K,1,circle,black,0.8,1
