gr,richness,caption,colour,shape,opacity,size
C01,401,Number of taxa: 401,#C1E311,square,0.9,0.9
C03,659,Number of taxa: 659,#BCC812,square,0.9,0.9
C21,431,Number of taxa: 431,#C1E311,square,0.9,0.9
C22,487,Number of taxa: 487,#C1E311,square,0.9,0.9
C23,519,Number of taxa: 519,#BCC812,square,0.9,0.9
C33,456,Number of taxa: 456,#C1E311,square,0.9,0.9
C51,505,Number of taxa: 505,#BCC812,square,0.9,0.9
C73,809,Number of taxa: 809,#B7AD13,square,0.9,0.9
C90,593,Number of taxa: 593,#BCC812,square,0.9,0.9
C92,513,Number of taxa: 513,#BCC812,square,0.9,0.9
D21,622,Number of taxa: 622,#BCC812,square,0.9,0.9
D23,589,Number of taxa: 589,#BCC812,square,0.9,0.9
G13,425,Number of taxa: 425,#C1E311,square,0.9,0.9
G53,566,Number of taxa: 566,#BCC812,square,0.9,0.9
G61,552,Number of taxa: 552,#BCC812,square,0.9,0.9
G63,714,Number of taxa: 714,#BCC812,square,0.9,0.9
G67,501,Number of taxa: 501,#BCC812,square,0.9,0.9
G73,687,Number of taxa: 687,#BCC812,square,0.9,0.9
G74,578,Number of taxa: 578,#BCC812,square,0.9,0.9
G80,521,Number of taxa: 521,#BCC812,square,0.9,0.9
G81,451,Number of taxa: 451,#C1E311,square,0.9,0.9
G87,563,Number of taxa: 563,#BCC812,square,0.9,0.9
G92,459,Number of taxa: 459,#C1E311,square,0.9,0.9
G98,495,Number of taxa: 495,#C1E311,square,0.9,0.9
H03,589,Number of taxa: 589,#BCC812,square,0.9,0.9
H05,671,Number of taxa: 671,#BCC812,square,0.9,0.9
H06,568,Number of taxa: 568,#BCC812,square,0.9,0.9
H09,339,Number of taxa: 339,#C1E311,square,0.9,0.9
H11,461,Number of taxa: 461,#C1E311,square,0.9,0.9
H13,622,Number of taxa: 622,#BCC812,square,0.9,0.9
H15,667,Number of taxa: 667,#BCC812,square,0.9,0.9
H16,621,Number of taxa: 621,#BCC812,square,0.9,0.9
H18,414,Number of taxa: 414,#C1E311,square,0.9,0.9
H20,450,Number of taxa: 450,#C1E311,square,0.9,0.9
H23,630,Number of taxa: 630,#BCC812,square,0.9,0.9
H24,758,Number of taxa: 758,#B7AD13,square,0.9,0.9
H25,637,Number of taxa: 637,#BCC812,square,0.9,0.9
H30,530,Number of taxa: 530,#BCC812,square,0.9,0.9
H39,587,Number of taxa: 587,#BCC812,square,0.9,0.9
H42,608,Number of taxa: 608,#BCC812,square,0.9,0.9
H44,631,Number of taxa: 631,#BCC812,square,0.9,0.9
H46,504,Number of taxa: 504,#BCC812,square,0.9,0.9
H48,543,Number of taxa: 543,#BCC812,square,0.9,0.9
H56,464,Number of taxa: 464,#C1E311,square,0.9,0.9
H60,365,Number of taxa: 365,#C1E311,square,0.9,0.9
H65,618,Number of taxa: 618,#BCC812,square,0.9,0.9
H73,536,Number of taxa: 536,#BCC812,square,0.9,0.9
H77,651,Number of taxa: 651,#BCC812,square,0.9,0.9
H80,612,Number of taxa: 612,#BCC812,square,0.9,0.9
H93,518,Number of taxa: 518,#BCC812,square,0.9,0.9
J01,555,Number of taxa: 555,#BCC812,square,0.9,0.9
J04,651,Number of taxa: 651,#BCC812,square,0.9,0.9
J12,630,Number of taxa: 630,#BCC812,square,0.9,0.9
J25,599,Number of taxa: 599,#BCC812,square,0.9,0.9
J27,667,Number of taxa: 667,#BCC812,square,0.9,0.9
J32,619,Number of taxa: 619,#BCC812,square,0.9,0.9
J33,910,Number of taxa: 910,#B7AD13,square,0.9,0.9
J34,569,Number of taxa: 569,#BCC812,square,0.9,0.9
J37,1122,Number of taxa: 1122,#B29215,square,0.9,0.9
J47,899,Number of taxa: 899,#B7AD13,square,0.9,0.9
J56,732,Number of taxa: 732,#BCC812,square,0.9,0.9
J58,722,Number of taxa: 722,#BCC812,square,0.9,0.9
L74,487,Number of taxa: 487,#C1E311,square,0.9,0.9
L80,566,Number of taxa: 566,#BCC812,square,0.9,0.9
L88,452,Number of taxa: 452,#C1E311,square,0.9,0.9
M04,442,Number of taxa: 442,#C1E311,square,0.9,0.9
M12,459,Number of taxa: 459,#C1E311,square,0.9,0.9
M14,573,Number of taxa: 573,#BCC812,square,0.9,0.9
M15,549,Number of taxa: 549,#BCC812,square,0.9,0.9
M22,741,Number of taxa: 741,#BCC812,square,0.9,0.9
M31,597,Number of taxa: 597,#BCC812,square,0.9,0.9
M34,451,Number of taxa: 451,#C1E311,square,0.9,0.9
M40,606,Number of taxa: 606,#BCC812,square,0.9,0.9
M41,574,Number of taxa: 574,#BCC812,square,0.9,0.9
M69,460,Number of taxa: 460,#C1E311,square,0.9,0.9
M70,401,Number of taxa: 401,#C1E311,square,0.9,0.9
M92,510,Number of taxa: 510,#BCC812,square,0.9,0.9
N06,508,Number of taxa: 508,#BCC812,square,0.9,0.9
N10,531,Number of taxa: 531,#BCC812,square,0.9,0.9
N15,495,Number of taxa: 495,#C1E311,square,0.9,0.9
N17,481,Number of taxa: 481,#C1E311,square,0.9,0.9
N19,448,Number of taxa: 448,#C1E311,square,0.9,0.9
N20,476,Number of taxa: 476,#C1E311,square,0.9,0.9
