gr,richness,caption,colour,shape,opacity,size
N25,426,Number of taxa: 426,#C1E311,square,0.9,0.9
N28,530,Number of taxa: 530,#BCC812,square,0.9,0.9
N30,407,Number of taxa: 407,#C1E311,square,0.9,0.9
N31,474,Number of taxa: 474,#C1E311,square,0.9,0.9
N33,525,Number of taxa: 525,#BCC812,square,0.9,0.9
N35,461,Number of taxa: 461,#C1E311,square,0.9,0.9
N37,497,Number of taxa: 497,#C1E311,square,0.9,0.9
N42,499,Number of taxa: 499,#C1E311,square,0.9,0.9
N44,496,Number of taxa: 496,#C1E311,square,0.9,0.9
N45,630,Number of taxa: 630,#BCC812,square,0.9,0.9
N46,548,Number of taxa: 548,#BCC812,square,0.9,0.9
N50,446,Number of taxa: 446,#C1E311,square,0.9,0.9
N58,413,Number of taxa: 413,#C1E311,square,0.9,0.9
N60,491,Number of taxa: 491,#C1E311,square,0.9,0.9
N62,484,Number of taxa: 484,#C1E311,square,0.9,0.9
N63,551,Number of taxa: 551,#BCC812,square,0.9,0.9
N67,372,Number of taxa: 372,#C1E311,square,0.9,0.9
N73,450,Number of taxa: 450,#C1E311,square,0.9,0.9
N79,442,Number of taxa: 442,#C1E311,square,0.9,0.9
N83,450,Number of taxa: 450,#C1E311,square,0.9,0.9
N85,478,Number of taxa: 478,#C1E311,square,0.9,0.9
N86,494,Number of taxa: 494,#C1E311,square,0.9,0.9
N90,492,Number of taxa: 492,#C1E311,square,0.9,0.9
N91,520,Number of taxa: 520,#BCC812,square,0.9,0.9
N93,571,Number of taxa: 571,#BCC812,square,0.9,0.9
N94,313,Number of taxa: 313,#C1E311,square,0.9,0.9
N95,340,Number of taxa: 340,#C1E311,square,0.9,0.9
N96,357,Number of taxa: 357,#C1E311,square,0.9,0.9
NC40,630,Number of taxa: 630,#BCC812,square,0.9,0.9
NC50,728,Number of taxa: 728,#BCC812,square,0.9,0.9
NC80,900,Number of taxa: 900,#B7AD13,square,0.9,0.9
NC81,326,Number of taxa: 326,#C1E311,square,0.9,0.9
NC91,541,Number of taxa: 541,#BCC812,square,0.9,0.9
NC92,455,Number of taxa: 455,#C1E311,square,0.9,0.9
NF73,548,Number of taxa: 548,#BCC812,square,0.9,0.9
NG36,557,Number of taxa: 557,#BCC812,square,0.9,0.9
NG43,474,Number of taxa: 474,#C1E311,square,0.9,0.9
NG51,580,Number of taxa: 580,#BCC812,square,0.9,0.9
NG53,744,Number of taxa: 744,#BCC812,square,0.9,0.9
NG82,647,Number of taxa: 647,#BCC812,square,0.9,0.9
NG90,461,Number of taxa: 461,#C1E311,square,0.9,0.9
NH20,464,Number of taxa: 464,#C1E311,square,0.9,0.9
NH30,677,Number of taxa: 677,#BCC812,square,0.9,0.9
NH33,495,Number of taxa: 495,#C1E311,square,0.9,0.9
NH41,556,Number of taxa: 556,#BCC812,square,0.9,0.9
NH42,593,Number of taxa: 593,#BCC812,square,0.9,0.9
NH45,830,Number of taxa: 830,#B7AD13,square,0.9,0.9
NH54,843,Number of taxa: 843,#B7AD13,square,0.9,0.9
NH55,875,Number of taxa: 875,#B7AD13,square,0.9,0.9
NH56,627,Number of taxa: 627,#BCC812,square,0.9,0.9
NH65,730,Number of taxa: 730,#BCC812,square,0.9,0.9
NH66,745,Number of taxa: 745,#BCC812,square,0.9,0.9
NH67,582,Number of taxa: 582,#BCC812,square,0.9,0.9
NH70,640,Number of taxa: 640,#BCC812,square,0.9,0.9
NH76,688,Number of taxa: 688,#BCC812,square,0.9,0.9
NH77,692,Number of taxa: 692,#BCC812,square,0.9,0.9
NH78,1077,Number of taxa: 1077,#B29215,square,0.9,0.9
NH80,696,Number of taxa: 696,#BCC812,square,0.9,0.9
NH84,628,Number of taxa: 628,#BCC812,square,0.9,0.9
NH87,761,Number of taxa: 761,#B7AD13,square,0.9,0.9
NH89,854,Number of taxa: 854,#B7AD13,square,0.9,0.9
NH97,187,Number of taxa: 187,#C6FF10,square,0.9,0.9
NJ02,828,Number of taxa: 828,#B7AD13,square,0.9,0.9
NJ05,1117,Number of taxa: 1117,#B29215,square,0.9,0.9
NJ06,974,Number of taxa: 974,#B7AD13,square,0.9,0.9
NJ15,726,Number of taxa: 726,#BCC812,square,0.9,0.9
NJ31,414,Number of taxa: 414,#C1E311,square,0.9,0.9
NJ34,594,Number of taxa: 594,#BCC812,square,0.9,0.9
NJ42,542,Number of taxa: 542,#BCC812,square,0.9,0.9
NJ44,604,Number of taxa: 604,#BCC812,square,0.9,0.9
NJ45,698,Number of taxa: 698,#BCC812,square,0.9,0.9
NJ50,460,Number of taxa: 460,#C1E311,square,0.9,0.9
NJ51,526,Number of taxa: 526,#BCC812,square,0.9,0.9
NJ52,561,Number of taxa: 561,#BCC812,square,0.9,0.9
NJ53,453,Number of taxa: 453,#C1E311,square,0.9,0.9
NJ54,602,Number of taxa: 602,#BCC812,square,0.9,0.9
NJ55,546,Number of taxa: 546,#BCC812,square,0.9,0.9
NJ56,750,Number of taxa: 750,#B7AD13,square,0.9,0.9
NJ60,408,Number of taxa: 408,#C1E311,square,0.9,0.9
NJ61,535,Number of taxa: 535,#BCC812,square,0.9,0.9
NJ63,410,Number of taxa: 410,#C1E311,square,0.9,0.9
NJ65,683,Number of taxa: 683,#BCC812,square,0.9,0.9
NJ66,811,Number of taxa: 811,#B7AD13,square,0.9,0.9
NJ70,542,Number of taxa: 542,#BCC812,square,0.9,0.9
NJ71,610,Number of taxa: 610,#BCC812,square,0.9,0.9
NJ73,551,Number of taxa: 551,#BCC812,square,0.9,0.9
NJ75,556,Number of taxa: 556,#BCC812,square,0.9,0.9
NJ80,699,Number of taxa: 699,#BCC812,square,0.9,0.9
NJ81,536,Number of taxa: 536,#BCC812,square,0.9,0.9
NJ82,500,Number of taxa: 500,#BCC812,square,0.9,0.9
NJ83,611,Number of taxa: 611,#BCC812,square,0.9,0.9
NJ85,457,Number of taxa: 457,#C1E311,square,0.9,0.9
NJ86,622,Number of taxa: 622,#BCC812,square,0.9,0.9
NJ90,835,Number of taxa: 835,#B7AD13,square,0.9,0.9
NJ93,523,Number of taxa: 523,#BCC812,square,0.9,0.9
NJ94,455,Number of taxa: 455,#C1E311,square,0.9,0.9
NJ95,478,Number of taxa: 478,#C1E311,square,0.9,0.9
NJ96,555,Number of taxa: 555,#BCC812,square,0.9,0.9
NM49,691,Number of taxa: 691,#BCC812,square,0.9,0.9
NM54,644,Number of taxa: 644,#BCC812,square,0.9,0.9
NM55,664,Number of taxa: 664,#BCC812,square,0.9,0.9
NM56,583,Number of taxa: 583,#BCC812,square,0.9,0.9
NM62,526,Number of taxa: 526,#BCC812,square,0.9,0.9
NM64,596,Number of taxa: 596,#BCC812,square,0.9,0.9
NM67,562,Number of taxa: 562,#BCC812,square,0.9,0.9
NM68,562,Number of taxa: 562,#BCC812,square,0.9,0.9
NM69,496,Number of taxa: 496,#C1E311,square,0.9,0.9
NM70,566,Number of taxa: 566,#BCC812,square,0.9,0.9
NM71,630,Number of taxa: 630,#BCC812,square,0.9,0.9
NM77,474,Number of taxa: 474,#C1E311,square,0.9,0.9
NM80,690,Number of taxa: 690,#BCC812,square,0.9,0.9
NM81,607,Number of taxa: 607,#BCC812,square,0.9,0.9
NM82,693,Number of taxa: 693,#BCC812,square,0.9,0.9
NM83,710,Number of taxa: 710,#BCC812,square,0.9,0.9
NM86,539,Number of taxa: 539,#BCC812,square,0.9,0.9
NM87,291,Number of taxa: 291,#C1E311,square,0.9,0.9
NM90,498,Number of taxa: 498,#C1E311,square,0.9,0.9
NM91,504,Number of taxa: 504,#BCC812,square,0.9,0.9
NM92,472,Number of taxa: 472,#C1E311,square,0.9,0.9
NM93,703,Number of taxa: 703,#BCC812,square,0.9,0.9
NM94,650,Number of taxa: 650,#BCC812,square,0.9,0.9
NN00,580,Number of taxa: 580,#BCC812,square,0.9,0.9
NN02,610,Number of taxa: 610,#BCC812,square,0.9,0.9
NN03,585,Number of taxa: 585,#BCC812,square,0.9,0.9
NN05,613,Number of taxa: 613,#BCC812,square,0.9,0.9
NN10,541,Number of taxa: 541,#BCC812,square,0.9,0.9
NN11,552,Number of taxa: 552,#BCC812,square,0.9,0.9
NN12,601,Number of taxa: 601,#BCC812,square,0.9,0.9
NN16,538,Number of taxa: 538,#BCC812,square,0.9,0.9
NN17,685,Number of taxa: 685,#BCC812,square,0.9,0.9
NN18,567,Number of taxa: 567,#BCC812,square,0.9,0.9
NN20,595,Number of taxa: 595,#BCC812,square,0.9,0.9
NN33,498,Number of taxa: 498,#C1E311,square,0.9,0.9
NN40,548,Number of taxa: 548,#BCC812,square,0.9,0.9
NN45,475,Number of taxa: 475,#C1E311,square,0.9,0.9
NN50,737,Number of taxa: 737,#BCC812,square,0.9,0.9
NN58,447,Number of taxa: 447,#C1E311,square,0.9,0.9
NN62,538,Number of taxa: 538,#BCC812,square,0.9,0.9
NN65,585,Number of taxa: 585,#BCC812,square,0.9,0.9
NN70,749,Number of taxa: 749,#BCC812,square,0.9,0.9
NN72,642,Number of taxa: 642,#BCC812,square,0.9,0.9
NN74,718,Number of taxa: 718,#BCC812,square,0.9,0.9
NN81,630,Number of taxa: 630,#BCC812,square,0.9,0.9
NN82,686,Number of taxa: 686,#BCC812,square,0.9,0.9
NN84,655,Number of taxa: 655,#BCC812,square,0.9,0.9
NN85,635,Number of taxa: 635,#BCC812,square,0.9,0.9
NN86,731,Number of taxa: 731,#BCC812,square,0.9,0.9
NN91,639,Number of taxa: 639,#BCC812,square,0.9,0.9
NN92,511,Number of taxa: 511,#BCC812,square,0.9,0.9
NN94,682,Number of taxa: 682,#BCC812,square,0.9,0.9
NN95,924,Number of taxa: 924,#B7AD13,square,0.9,0.9
NN96,720,Number of taxa: 720,#BCC812,square,0.9,0.9
NO00,732,Number of taxa: 732,#BCC812,square,0.9,0.9
NO01,750,Number of taxa: 750,#B7AD13,square,0.9,0.9
NO02,813,Number of taxa: 813,#B7AD13,square,0.9,0.9
NO03,726,Number of taxa: 726,#BCC812,square,0.9,0.9
NO04,789,Number of taxa: 789,#B7AD13,square,0.9,0.9
NO06,644,Number of taxa: 644,#BCC812,square,0.9,0.9
NO11,733,Number of taxa: 733,#BCC812,square,0.9,0.9
NO12,994,Number of taxa: 994,#B7AD13,square,0.9,0.9
NO14,805,Number of taxa: 805,#B7AD13,square,0.9,0.9
NO23,690,Number of taxa: 690,#BCC812,square,0.9,0.9
NO25,670,Number of taxa: 670,#BCC812,square,0.9,0.9
NO26,441,Number of taxa: 441,#C1E311,square,0.9,0.9
NO32,895,Number of taxa: 895,#B7AD13,square,0.9,0.9
NO35,673,Number of taxa: 673,#BCC812,square,0.9,0.9
NO40,875,Number of taxa: 875,#B7AD13,square,0.9,0.9
NO43,747,Number of taxa: 747,#BCC812,square,0.9,0.9
NO47,498,Number of taxa: 498,#C1E311,square,0.9,0.9
NO49,528,Number of taxa: 528,#BCC812,square,0.9,0.9
NO57,511,Number of taxa: 511,#BCC812,square,0.9,0.9
NO58,301,Number of taxa: 301,#C1E311,square,0.9,0.9
NO59,530,Number of taxa: 530,#BCC812,square,0.9,0.9
NO67,489,Number of taxa: 489,#C1E311,square,0.9,0.9
NO68,367,Number of taxa: 367,#C1E311,square,0.9,0.9
NO69,718,Number of taxa: 718,#BCC812,square,0.9,0.9
NO76,752,Number of taxa: 752,#B7AD13,square,0.9,0.9
NO77,521,Number of taxa: 521,#BCC812,square,0.9,0.9
NO79,797,Number of taxa: 797,#B7AD13,square,0.9,0.9
NO89,674,Number of taxa: 674,#BCC812,square,0.9,0.9
NR26,640,Number of taxa: 640,#BCC812,square,0.9,0.9
NR36,680,Number of taxa: 680,#BCC812,square,0.9,0.9
NR46,611,Number of taxa: 611,#BCC812,square,0.9,0.9
NR86,578,Number of taxa: 578,#BCC812,square,0.9,0.9
NR88,696,Number of taxa: 696,#BCC812,square,0.9,0.9
NR89,683,Number of taxa: 683,#BCC812,square,0.9,0.9
NR92,652,Number of taxa: 652,#BCC812,square,0.9,0.9
NR93,535,Number of taxa: 535,#BCC812,square,0.9,0.9
NR97,527,Number of taxa: 527,#BCC812,square,0.9,0.9
NR98,516,Number of taxa: 516,#BCC812,square,0.9,0.9
NR99,492,Number of taxa: 492,#C1E311,square,0.9,0.9
NS02,736,Number of taxa: 736,#BCC812,square,0.9,0.9
NS03,764,Number of taxa: 764,#B7AD13,square,0.9,0.9
NS06,838,Number of taxa: 838,#B7AD13,square,0.9,0.9
NS09,494,Number of taxa: 494,#C1E311,square,0.9,0.9
NS15,820,Number of taxa: 820,#B7AD13,square,0.9,0.9
NS16,734,Number of taxa: 734,#BCC812,square,0.9,0.9
NS17,587,Number of taxa: 587,#BCC812,square,0.9,0.9
NS30,563,Number of taxa: 563,#BCC812,square,0.9,0.9
NS38,1053,Number of taxa: 1053,#B29215,square,0.9,0.9
NS41,514,Number of taxa: 514,#BCC812,square,0.9,0.9
NS43,616,Number of taxa: 616,#BCC812,square,0.9,0.9
NS52,561,Number of taxa: 561,#BCC812,square,0.9,0.9
NS68,527,Number of taxa: 527,#BCC812,square,0.9,0.9
NS72,461,Number of taxa: 461,#C1E311,square,0.9,0.9
NS79,732,Number of taxa: 732,#BCC812,square,0.9,0.9
NT03,702,Number of taxa: 702,#BCC812,square,0.9,0.9
NT11,492,Number of taxa: 492,#C1E311,square,0.9,0.9
NT13,674,Number of taxa: 674,#BCC812,square,0.9,0.9
NT14,648,Number of taxa: 648,#BCC812,square,0.9,0.9
NT15,685,Number of taxa: 685,#BCC812,square,0.9,0.9
NT16,913,Number of taxa: 913,#B7AD13,square,0.9,0.9
NT17,1142,Number of taxa: 1142,#B29215,square,0.9,0.9
NT22,521,Number of taxa: 521,#BCC812,square,0.9,0.9
NT23,707,Number of taxa: 707,#BCC812,square,0.9,0.9
NT24,806,Number of taxa: 806,#B7AD13,square,0.9,0.9
NT26,1085,Number of taxa: 1085,#B29215,square,0.9,0.9
NT27,1578,Number of taxa: 1578,#A85C17,square,0.9,0.9
NT31,563,Number of taxa: 563,#BCC812,square,0.9,0.9
NT33,745,Number of taxa: 745,#BCC812,square,0.9,0.9
NT34,485,Number of taxa: 485,#C1E311,square,0.9,0.9
NT35,778,Number of taxa: 778,#B7AD13,square,0.9,0.9
NT37,966,Number of taxa: 966,#B7AD13,square,0.9,0.9
NT40,573,Number of taxa: 573,#BCC812,square,0.9,0.9
NT41,802,Number of taxa: 802,#B7AD13,square,0.9,0.9
NT42,907,Number of taxa: 907,#B7AD13,square,0.9,0.9
NT43,930,Number of taxa: 930,#B7AD13,square,0.9,0.9
NT46,798,Number of taxa: 798,#B7AD13,square,0.9,0.9
NT47,936,Number of taxa: 936,#B7AD13,square,0.9,0.9
NT50,635,Number of taxa: 635,#BCC812,square,0.9,0.9
NT51,987,Number of taxa: 987,#B7AD13,square,0.9,0.9
NT52,789,Number of taxa: 789,#B7AD13,square,0.9,0.9
NT53,1231,Number of taxa: 1231,#B29215,square,0.9,0.9
NT54,718,Number of taxa: 718,#BCC812,square,0.9,0.9
NT55,537,Number of taxa: 537,#BCC812,square,0.9,0.9
NT57,866,Number of taxa: 866,#B7AD13,square,0.9,0.9
NT61,653,Number of taxa: 653,#BCC812,square,0.9,0.9
NT62,762,Number of taxa: 762,#B7AD13,square,0.9,0.9
NT63,842,Number of taxa: 842,#B7AD13,square,0.9,0.9
NT64,730,Number of taxa: 730,#BCC812,square,0.9,0.9
NT65,593,Number of taxa: 593,#BCC812,square,0.9,0.9
NT67,995,Number of taxa: 995,#B7AD13,square,0.9,0.9
NT72,654,Number of taxa: 654,#BCC812,square,0.9,0.9
NT73,990,Number of taxa: 990,#B7AD13,square,0.9,0.9
NT74,740,Number of taxa: 740,#BCC812,square,0.9,0.9
NT75,856,Number of taxa: 856,#B7AD13,square,0.9,0.9
NT76,691,Number of taxa: 691,#BCC812,square,0.9,0.9
NT77,909,Number of taxa: 909,#B7AD13,square,0.9,0.9
NT82,778,Number of taxa: 778,#B7AD13,square,0.9,0.9
NT83,856,Number of taxa: 856,#B7AD13,square,0.9,0.9
NT84,843,Number of taxa: 843,#B7AD13,square,0.9,0.9
NT85,841,Number of taxa: 841,#B7AD13,square,0.9,0.9
NT90,742,Number of taxa: 742,#BCC812,square,0.9,0.9
NT92,794,Number of taxa: 794,#B7AD13,square,0.9,0.9
NT93,840,Number of taxa: 840,#B7AD13,square,0.9,0.9
NT95,997,Number of taxa: 997,#B7AD13,square,0.9,0.9
NT96,871,Number of taxa: 871,#B7AD13,square,0.9,0.9
NU00,842,Number of taxa: 842,#B7AD13,square,0.9,0.9
NU01,786,Number of taxa: 786,#B7AD13,square,0.9,0.9
NU02,782,Number of taxa: 782,#B7AD13,square,0.9,0.9
NU03,810,Number of taxa: 810,#B7AD13,square,0.9,0.9
NU04,809,Number of taxa: 809,#B7AD13,square,0.9,0.9
NU10,756,Number of taxa: 756,#B7AD13,square,0.9,0.9
NU11,986,Number of taxa: 986,#B7AD13,square,0.9,0.9
NX08,606,Number of taxa: 606,#BCC812,square,0.9,0.9
NX29,511,Number of taxa: 511,#BCC812,square,0.9,0.9
NX30,672,Number of taxa: 672,#BCC812,square,0.9,0.9
NX37,532,Number of taxa: 532,#BCC812,square,0.9,0.9
NX40,940,Number of taxa: 940,#B7AD13,square,0.9,0.9
NX76,864,Number of taxa: 864,#B7AD13,square,0.9,0.9
NX78,572,Number of taxa: 572,#BCC812,square,0.9,0.9
NX89,635,Number of taxa: 635,#BCC812,square,0.9,0.9
NX98,671,Number of taxa: 671,#BCC812,square,0.9,0.9
NY08,697,Number of taxa: 697,#BCC812,square,0.9,0.9
NY09,473,Number of taxa: 473,#C1E311,square,0.9,0.9
NY11,594,Number of taxa: 594,#BCC812,square,0.9,0.9
NY12,764,Number of taxa: 764,#B7AD13,square,0.9,0.9
NY16,765,Number of taxa: 765,#B7AD13,square,0.9,0.9
NY18,663,Number of taxa: 663,#BCC812,square,0.9,0.9
NY20,584,Number of taxa: 584,#BCC812,square,0.9,0.9
NY31,743,Number of taxa: 743,#BCC812,square,0.9,0.9
NY32,803,Number of taxa: 803,#B7AD13,square,0.9,0.9
NY38,657,Number of taxa: 657,#BCC812,square,0.9,0.9
NY52,916,Number of taxa: 916,#B7AD13,square,0.9,0.9
NY55,818,Number of taxa: 818,#B7AD13,square,0.9,0.9
NY59,571,Number of taxa: 571,#BCC812,square,0.9,0.9
NY62,849,Number of taxa: 849,#B7AD13,square,0.9,0.9
NY69,588,Number of taxa: 588,#BCC812,square,0.9,0.9
NY77,559,Number of taxa: 559,#BCC812,square,0.9,0.9
NY97,775,Number of taxa: 775,#B7AD13,square,0.9,0.9
NZ00,576,Number of taxa: 576,#BCC812,square,0.9,0.9
NZ19,686,Number of taxa: 686,#BCC812,square,0.9,0.9
NZ25,1019,Number of taxa: 1019,#B29215,square,0.9,0.9
NZ28,850,Number of taxa: 850,#B7AD13,square,0.9,0.9
NZ32,744,Number of taxa: 744,#BCC812,square,0.9,0.9
O07,557,Number of taxa: 557,#BCC812,square,0.9,0.9
O08,490,Number of taxa: 490,#C1E311,square,0.9,0.9
O10,378,Number of taxa: 378,#C1E311,square,0.9,0.9
O11,455,Number of taxa: 455,#C1E311,square,0.9,0.9
O20,592,Number of taxa: 592,#BCC812,square,0.9,0.9
O21,863,Number of taxa: 863,#B7AD13,square,0.9,0.9
Q61,574,Number of taxa: 574,#BCC812,square,0.9,0.9
Q80,414,Number of taxa: 414,#C1E311,square,0.9,0.9
Q81,570,Number of taxa: 570,#BCC812,square,0.9,0.9
Q91,322,Number of taxa: 322,#C1E311,square,0.9,0.9
R02,303,Number of taxa: 303,#C1E311,square,0.9,0.9
R04,510,Number of taxa: 510,#BCC812,square,0.9,0.9
R05,265,Number of taxa: 265,#C1E311,square,0.9,0.9
R25,779,Number of taxa: 779,#B7AD13,square,0.9,0.9
R26,307,Number of taxa: 307,#C1E311,square,0.9,0.9
R37,574,Number of taxa: 574,#BCC812,square,0.9,0.9
R38,577,Number of taxa: 577,#BCC812,square,0.9,0.9
R46,447,Number of taxa: 447,#C1E311,square,0.9,0.9
R59,406,Number of taxa: 406,#C1E311,square,0.9,0.9
R61,476,Number of taxa: 476,#C1E311,square,0.9,0.9
R68,488,Number of taxa: 488,#C1E311,square,0.9,0.9
R75,497,Number of taxa: 497,#C1E311,square,0.9,0.9
R78,565,Number of taxa: 565,#BCC812,square,0.9,0.9
R79,520,Number of taxa: 520,#BCC812,square,0.9,0.9
R80,542,Number of taxa: 542,#BCC812,square,0.9,0.9
R83,467,Number of taxa: 467,#C1E311,square,0.9,0.9
R90,477,Number of taxa: 477,#C1E311,square,0.9,0.9
R92,450,Number of taxa: 450,#C1E311,square,0.9,0.9
S00,505,Number of taxa: 505,#BCC812,square,0.9,0.9
S02,470,Number of taxa: 470,#C1E311,square,0.9,0.9
S09,484,Number of taxa: 484,#C1E311,square,0.9,0.9
S10,490,Number of taxa: 490,#C1E311,square,0.9,0.9
S12,561,Number of taxa: 561,#BCC812,square,0.9,0.9
S19,478,Number of taxa: 478,#C1E311,square,0.9,0.9
S21,478,Number of taxa: 478,#C1E311,square,0.9,0.9
S30,655,Number of taxa: 655,#BCC812,square,0.9,0.9
S34,400,Number of taxa: 400,#C1E311,square,0.9,0.9
S37,453,Number of taxa: 453,#C1E311,square,0.9,0.9
S39,431,Number of taxa: 431,#C1E311,square,0.9,0.9
S40,667,Number of taxa: 667,#BCC812,square,0.9,0.9
S41,612,Number of taxa: 612,#BCC812,square,0.9,0.9
S42,531,Number of taxa: 531,#BCC812,square,0.9,0.9
S45,523,Number of taxa: 523,#BCC812,square,0.9,0.9
S46,592,Number of taxa: 592,#BCC812,square,0.9,0.9
S48,523,Number of taxa: 523,#BCC812,square,0.9,0.9
S50,850,Number of taxa: 850,#B7AD13,square,0.9,0.9
S51,769,Number of taxa: 769,#B7AD13,square,0.9,0.9
S53,568,Number of taxa: 568,#BCC812,square,0.9,0.9
S59,451,Number of taxa: 451,#C1E311,square,0.9,0.9
S60,863,Number of taxa: 863,#B7AD13,square,0.9,0.9
S61,917,Number of taxa: 917,#B7AD13,square,0.9,0.9
S62,667,Number of taxa: 667,#BCC812,square,0.9,0.9
S63,579,Number of taxa: 579,#BCC812,square,0.9,0.9
S64,533,Number of taxa: 533,#BCC812,square,0.9,0.9
S69,587,Number of taxa: 587,#BCC812,square,0.9,0.9
S71,882,Number of taxa: 882,#B7AD13,square,0.9,0.9
S72,823,Number of taxa: 823,#B7AD13,square,0.9,0.9
S73,706,Number of taxa: 706,#BCC812,square,0.9,0.9
S79,416,Number of taxa: 416,#C1E311,square,0.9,0.9
