gr,freq,shape,colour,opacity,size
B7000,1,circlerad,black,0.8,1
B7503,1,circlerad,black,0.8,1
B8447,2,circlerad,black,0.8,1
B8745,1,circlerad,black,0.8,1
C0634,1,circlerad,black,0.8,1
C0638,1,circlerad,black,0.8,1
C3859,1,circlerad,black,0.8,1
C4152,1,circlerad,black,0.8,1
C4258,1,circlerad,black,0.8,1
C4351,1,circlerad,black,0.8,1
C4865,2,circlerad,black,0.8,1
C6540,1,circlerad,black,0.8,1
C7436,1,circlerad,black,0.8,1
C7935,1,circlerad,black,0.8,1
C8035,1,circlerad,black,0.8,1
C8136,1,circlerad,black,0.8,1
C8137,1,circlerad,black,0.8,1
C8138,2,circlerad,black,0.8,1
C8239,1,circlerad,black,0.8,1
C8540,2,circlerad,black,0.8,1
C8742,1,circlerad,black,0.8,1
C8840,2,circlerad,black,0.8,1
C8933,2,circlerad,black,0.8,1
C9242,1,circlerad,black,0.8,1
C9342,1,circlerad,black,0.8,1
C9343,2,circlerad,black,0.8,1
C9545,2,circlerad,black,0.8,1
D0143,1,circlerad,black,0.8,1
D0345,2,circlerad,black,0.8,1
D0704,1,circlerad,black,0.8,1
D0806,1,circlerad,black,0.8,1
D0843,6,circlerad,black,0.8,1
D1141,2,circlerad,black,0.8,1
D1201,2,circlerad,black,0.8,1
D1204,2,circlerad,black,0.8,1
D1942,2,circlerad,black,0.8,1
D2041,2,circlerad,black,0.8,1
D2425,1,circlerad,black,0.8,1
D2428,2,circlerad,black,0.8,1
D3015,6,circlerad,black,0.8,1
D3016,1,circlerad,black,0.8,1
D3115,1,circlerad,black,0.8,1
D3413,2,circlerad,black,0.8,1
D3802,2,circlerad,black,0.8,1
D3902,2,circlerad,black,0.8,1
D4000,1,circlerad,black,0.8,1
D4101,1,circlerad,black,0.8,1
D4102,2,circlerad,black,0.8,1
D5001,1,circlerad,black,0.8,1
F5625,1,circlerad,black,0.8,1
F6329,2,circlerad,black,0.8,1
F6428,1,circlerad,black,0.8,1
F6518,1,circlerad,black,0.8,1
F6631,1,circlerad,black,0.8,1
F6632,1,circlerad,black,0.8,1
F8842,2,circlerad,black,0.8,1
G0640,1,circlerad,black,0.8,1
G0641,1,circlerad,black,0.8,1
G4936,2,circlerad,black,0.8,1
G5834,1,circlerad,black,0.8,1
G5934,1,circlerad,black,0.8,1
G6329,1,circlerad,black,0.8,1
G6552,4,circlerad,black,0.8,1
G6696,1,circlerad,black,0.8,1
G7057,6,circlerad,black,0.8,1
G7157,6,circlerad,black,0.8,1
G7193,1,circlerad,black,0.8,1
G9177,1,circlerad,black,0.8,1
H3274,2,circlerad,black,0.8,1
H4572,4,circlerad,black,0.8,1
H4672,2,circlerad,black,0.8,1
H5285,3,circlerad,black,0.8,1
H5779,1,circlerad,black,0.8,1
H6256,1,circlerad,black,0.8,1
H7060,2,circlerad,black,0.8,1
H7760,2,circlerad,black,0.8,1
H7765,1,circlerad,black,0.8,1
H7879,1,circlerad,black,0.8,1
H8061,1,circlerad,black,0.8,1
H8078,1,circlerad,black,0.8,1
H8159,2,circlerad,black,0.8,1
H8178,1,circlerad,black,0.8,1
H8260,2,circlerad,black,0.8,1
H8279,2,circlerad,black,0.8,1
H8280,1,circlerad,black,0.8,1
H8381,2,circlerad,black,0.8,1
H8471,1,circlerad,black,0.8,1
H8561,2,circlerad,black,0.8,1
H8743,1,circlerad,black,0.8,1
H8760,1,circlerad,black,0.8,1
H8778,1,circlerad,black,0.8,1
H8860,1,circlerad,black,0.8,1
H8861,1,circlerad,black,0.8,1
H8958,1,circlerad,black,0.8,1
H8959,4,circlerad,black,0.8,1
H8960,2,circlerad,black,0.8,1
H8991,1,circlerad,black,0.8,1
H9055,2,circlerad,black,0.8,1
H9060,6,circlerad,black,0.8,1
H9392,1,circlerad,black,0.8,1
H9449,1,circlerad,black,0.8,1
H9460,2,circlerad,black,0.8,1
H9560,3,circlerad,black,0.8,1
H9641,2,circlerad,black,0.8,1
H9716,1,circlerad,black,0.8,1
H9851,1,circlerad,black,0.8,1
H9856,1,circlerad,black,0.8,1
H9890,2,circlerad,black,0.8,1
H9990,3,circlerad,black,0.8,1
HU1656,1,circlerad,black,0.8,1
HU2070,2,circlerad,black,0.8,1
HU3073,1,circlerad,black,0.8,1
HU3174,1,circlerad,black,0.8,1
HU3657,1,circlerad,black,0.8,1
HU3669,1,circlerad,black,0.8,1
HU4008,1,circlerad,black,0.8,1
HU4448,2,circlerad,black,0.8,1
HU4524,2,circlerad,black,0.8,1
HU4624,2,circlerad,black,0.8,1
HU4741,1,circlerad,black,0.8,1
J0051,1,circlerad,black,0.8,1
J0053,1,circlerad,black,0.8,1
J0089,2,circlerad,black,0.8,1
J0090,3,circlerad,black,0.8,1
J0154,3,circlerad,black,0.8,1
J0255,1,circlerad,black,0.8,1
J0256,3,circlerad,black,0.8,1
J0258,1,circlerad,black,0.8,1
J0303,1,circlerad,black,0.8,1
J0345,1,circlerad,black,0.8,1
J0358,1,circlerad,black,0.8,1
J0389,2,circlerad,black,0.8,1
J0451,1,circlerad,black,0.8,1
J0458,1,circlerad,black,0.8,1
J0459,1,circlerad,black,0.8,1
J0504,1,circlerad,black,0.8,1
J0560,1,circlerad,black,0.8,1
J0628,1,circlerad,black,0.8,1
J0660,1,circlerad,black,0.8,1
J0712,1,circlerad,black,0.8,1
J0720,1,circlerad,black,0.8,1
J0724,2,circlerad,black,0.8,1
J0725,1,circlerad,black,0.8,1
J0726,1,circlerad,black,0.8,1
J0727,1,circlerad,black,0.8,1
J0730,1,circlerad,black,0.8,1
J0761,1,circlerad,black,0.8,1
J0790,2,circlerad,black,0.8,1
J0830,1,circlerad,black,0.8,1
J0861,3,circlerad,black,0.8,1
J0924,1,circlerad,black,0.8,1
J0930,2,circlerad,black,0.8,1
J0931,1,circlerad,black,0.8,1
J0932,2,circlerad,black,0.8,1
J0935,1,circlerad,black,0.8,1
J0961,2,circlerad,black,0.8,1
J1038,1,circlerad,black,0.8,1
J1040,1,circlerad,black,0.8,1
J1041,1,circlerad,black,0.8,1
J1042,1,circlerad,black,0.8,1
J1049,3,circlerad,black,0.8,1
J1061,1,circlerad,black,0.8,1
J1120,1,circlerad,black,0.8,1
J1122,1,circlerad,black,0.8,1
J1143,2,circlerad,black,0.8,1
J1161,2,circlerad,black,0.8,1
J1164,1,circlerad,black,0.8,1
J1219,1,circlerad,black,0.8,1
J1244,2,circlerad,black,0.8,1
J1246,1,circlerad,black,0.8,1
J1261,2,circlerad,black,0.8,1
J1318,1,circlerad,black,0.8,1
J1345,1,circlerad,black,0.8,1
J1361,2,circlerad,black,0.8,1
J1417,2,circlerad,black,0.8,1
J1418,1,circlerad,black,0.8,1
J1446,2,circlerad,black,0.8,1
J1447,1,circlerad,black,0.8,1
J1461,2,circlerad,black,0.8,1
J1485,1,circlerad,black,0.8,1
J1518,1,circlerad,black,0.8,1
J1547,2,circlerad,black,0.8,1
J1561,2,circlerad,black,0.8,1
J1618,1,circlerad,black,0.8,1
J1648,1,circlerad,black,0.8,1
J1660,1,circlerad,black,0.8,1
J1661,2,circlerad,black,0.8,1
J1717,1,circlerad,black,0.8,1
J1718,5,circlerad,black,0.8,1
J1748,1,circlerad,black,0.8,1
J1749,2,circlerad,black,0.8,1
J1759,1,circlerad,black,0.8,1
J1760,2,circlerad,black,0.8,1
J1815,2,circlerad,black,0.8,1
J1816,1,circlerad,black,0.8,1
J1818,1,circlerad,black,0.8,1
J1849,1,circlerad,black,0.8,1
J1850,2,circlerad,black,0.8,1
J1851,2,circlerad,black,0.8,1
J1852,1,circlerad,black,0.8,1
J1859,2,circlerad,black,0.8,1
J1915,1,circlerad,black,0.8,1
J1952,1,circlerad,black,0.8,1
J1953,1,circlerad,black,0.8,1
J1959,2,circlerad,black,0.8,1
J2015,1,circlerad,black,0.8,1
J2031,1,circlerad,black,0.8,1
J2054,1,circlerad,black,0.8,1
J2059,3,circlerad,black,0.8,1
J2110,1,circlerad,black,0.8,1
J2114,1,circlerad,black,0.8,1
J2115,1,circlerad,black,0.8,1
J2154,1,circlerad,black,0.8,1
J2155,1,circlerad,black,0.8,1
J2159,1,circlerad,black,0.8,1
J2160,3,circlerad,black,0.8,1
J2185,1,circlerad,black,0.8,1
J2210,1,circlerad,black,0.8,1
J2214,1,circlerad,black,0.8,1
J2257,1,circlerad,black,0.8,1
J2260,2,circlerad,black,0.8,1
J2357,1,circlerad,black,0.8,1
J2358,3,circlerad,black,0.8,1
J2360,1,circlerad,black,0.8,1
J2361,2,circlerad,black,0.8,1
J2411,8,circlerad,black,0.8,1
J2412,3,circlerad,black,0.8,1
J2439,1,circlerad,black,0.8,1
J2458,1,circlerad,black,0.8,1
J2459,2,circlerad,black,0.8,1
J2460,1,circlerad,black,0.8,1
J2461,2,circlerad,black,0.8,1
J2462,2,circlerad,black,0.8,1
J2510,1,circlerad,black,0.8,1
J2511,1,circlerad,black,0.8,1
J2558,1,circlerad,black,0.8,1
J2561,1,circlerad,black,0.8,1
J2562,4,circlerad,black,0.8,1
J2585,1,circlerad,black,0.8,1
J2589,1,circlerad,black,0.8,1
J2609,2,circlerad,black,0.8,1
J2610,1,circlerad,black,0.8,1
J2662,7,circlerad,black,0.8,1
J2663,2,circlerad,black,0.8,1
J2763,4,circlerad,black,0.8,1
J2764,3,circlerad,black,0.8,1
J2784,2,circlerad,black,0.8,1
J2862,2,circlerad,black,0.8,1
J2863,1,circlerad,black,0.8,1
J2864,4,circlerad,black,0.8,1
J2865,1,circlerad,black,0.8,1
J2871,1,circlerad,black,0.8,1
J2890,2,circlerad,black,0.8,1
J2961,1,circlerad,black,0.8,1
J2965,3,circlerad,black,0.8,1
J2966,1,circlerad,black,0.8,1
J2967,3,circlerad,black,0.8,1
J2968,2,circlerad,black,0.8,1
J2969,2,circlerad,black,0.8,1
J3061,2,circlerad,black,0.8,1
J3067,1,circlerad,black,0.8,1
J3071,1,circlerad,black,0.8,1
J3114,1,circlerad,black,0.8,1
J3115,1,circlerad,black,0.8,1
J3161,2,circlerad,black,0.8,1
J3169,1,circlerad,black,0.8,1
J3170,1,circlerad,black,0.8,1
J3172,2,circlerad,black,0.8,1
J3214,2,circlerad,black,0.8,1
J3215,1,circlerad,black,0.8,1
J3261,1,circlerad,black,0.8,1
J3277,1,circlerad,black,0.8,1
J3315,1,circlerad,black,0.8,1
J3316,1,circlerad,black,0.8,1
J3362,2,circlerad,black,0.8,1
J3363,2,circlerad,black,0.8,1
J3368,1,circlerad,black,0.8,1
J3373,2,circlerad,black,0.8,1
J3463,3,circlerad,black,0.8,1
J3468,3,circlerad,black,0.8,1
J3469,1,circlerad,black,0.8,1
J3474,2,circlerad,black,0.8,1
J3475,3,circlerad,black,0.8,1
J3479,1,circlerad,black,0.8,1
J3483,1,circlerad,black,0.8,1
J3517,6,circlerad,black,0.8,1
J3563,1,circlerad,black,0.8,1
J3568,1,circlerad,black,0.8,1
J3569,3,circlerad,black,0.8,1
J3570,4,circlerad,black,0.8,1
J3574,2,circlerad,black,0.8,1
J3576,1,circlerad,black,0.8,1
J3580,5,circlerad,black,0.8,1
J3618,2,circlerad,black,0.8,1
J3651,2,circlerad,black,0.8,1
J3652,1,circlerad,black,0.8,1
J3669,4,circlerad,black,0.8,1
J3670,3,circlerad,black,0.8,1
J3671,3,circlerad,black,0.8,1
J3674,1,circlerad,black,0.8,1
J3675,1,circlerad,black,0.8,1
J3683,2,circlerad,black,0.8,1
J3718,1,circlerad,black,0.8,1
J3719,5,circlerad,black,0.8,1
J3720,2,circlerad,black,0.8,1
J3721,2,circlerad,black,0.8,1
J3722,3,circlerad,black,0.8,1
J3729,1,circlerad,black,0.8,1
J3730,1,circlerad,black,0.8,1
J3731,2,circlerad,black,0.8,1
J3750,1,circlerad,black,0.8,1
J3751,1,circlerad,black,0.8,1
J3771,2,circlerad,black,0.8,1
J3772,3,circlerad,black,0.8,1
J3775,2,circlerad,black,0.8,1
J3776,1,circlerad,black,0.8,1
J3778,1,circlerad,black,0.8,1
J3825,1,circlerad,black,0.8,1
J3826,2,circlerad,black,0.8,1
J3827,3,circlerad,black,0.8,1
J3828,3,circlerad,black,0.8,1
J3829,4,circlerad,black,0.8,1
J3832,1,circlerad,black,0.8,1
J3833,1,circlerad,black,0.8,1
J3849,1,circlerad,black,0.8,1
J3862,1,circlerad,black,0.8,1
J3872,5,circlerad,black,0.8,1
J3873,1,circlerad,black,0.8,1
J3874,1,circlerad,black,0.8,1
J3876,2,circlerad,black,0.8,1
J3877,4,circlerad,black,0.8,1
J3878,1,circlerad,black,0.8,1
J3933,1,circlerad,black,0.8,1
J3934,3,circlerad,black,0.8,1
J3935,1,circlerad,black,0.8,1
J3946,1,circlerad,black,0.8,1
J3947,1,circlerad,black,0.8,1
J3948,1,circlerad,black,0.8,1
J3972,2,circlerad,black,0.8,1
J3978,1,circlerad,black,0.8,1
J3979,5,circlerad,black,0.8,1
J3986,4,circlerad,black,0.8,1
J4037,1,circlerad,black,0.8,1
J4041,1,circlerad,black,0.8,1
J4042,1,circlerad,black,0.8,1
J4045,1,circlerad,black,0.8,1
J4059,3,circlerad,black,0.8,1
J4073,1,circlerad,black,0.8,1
J4079,1,circlerad,black,0.8,1
J4080,1,circlerad,black,0.8,1
J4099,2,circlerad,black,0.8,1
J4140,3,circlerad,black,0.8,1
J4166,2,circlerad,black,0.8,1
J4173,1,circlerad,black,0.8,1
J4179,1,circlerad,black,0.8,1
J4187,7,circlerad,black,0.8,1
J4188,2,circlerad,black,0.8,1
J4239,1,circlerad,black,0.8,1
J4264,2,circlerad,black,0.8,1
J4272,2,circlerad,black,0.8,1
J4274,1,circlerad,black,0.8,1
J4280,4,circlerad,black,0.8,1
J4288,1,circlerad,black,0.8,1
J4363,2,circlerad,black,0.8,1
J4380,1,circlerad,black,0.8,1
J4381,3,circlerad,black,0.8,1
J4388,4,circlerad,black,0.8,1
J4441,1,circlerad,black,0.8,1
J4474,1,circlerad,black,0.8,1
J4480,1,circlerad,black,0.8,1
J4481,2,circlerad,black,0.8,1
J4489,1,circlerad,black,0.8,1
J4541,1,circlerad,black,0.8,1
J4552,1,circlerad,black,0.8,1
J4580,1,circlerad,black,0.8,1
