vc,lllat,lllon,urlat,urlon
vc56,52.78105,-1.34459,53.50856,-0.61147
vc53,52.63028,-0.80432,53.25811,0.43638
vc57,52.69834,-2.05943,53.49567,-1.16649
vc58,52.93077,-3.29517,53.54045,-1.79492
vc51,53.05614,-3.53507,53.42427,-2.92028
vc50,52.78487,-3.83397,53.37726,-2.72414
vc49,52.69502,-4.88658,53.39309,-3.69276
vc67,54.78237,-2.68978,55.36792,-1.31801
vc11,50.65467,-1.91619,51.11828,-0.89336
vc70,54.15285,-3.72607,55.18898,-2.30844
vc80,55.10834,-3.11363,55.70533,-2.16551
vc71,53.99335,-4.91544,54.4686,-4.22219
vc52,53.08014,-4.78349,53.4856,-3.95765
vc48,52.53443,-4.26481,53.05114,-3.21651
vc28,52.3695,0.14335,53.04216,0.99882
vc27,52.35534,0.99725,53.03042,1.82614
vc47,52.3549,-3.92935,52.8761,-2.96106
vc10,50.52476,-1.68062,50.79174,-0.9841
vc8,50.91726,-2.36346,51.41432,-1.48573
vc7,51.33367,-2.32931,51.70621,-1.50931
vc23,51.45941,-1.7195,52.16847,-0.84566
vc22,51.33194,-1.71934,51.79011,-0.56253
vc12,51.00668,-1.69946,51.37309,-0.72934
vc13,50.67221,-0.98098,51.14312,-0.13497
vc14,50.68368,-0.20417,51.14746,0.83488
vc15,50.86059,0.4137,51.48763,1.5315
vc16,51.02464,-0.07509,51.51976,0.78912
vc17,51.07285,-0.84893,51.50986,0.05822
vc20,51.59958,-0.74579,52.08054,0.2081
vc21,51.37841,-0.53548,51.71372,0.00991
vc19,51.67523,-0.02123,52.09518,1.37382
vc18,51.44828,-0.06111,51.75979,1.17119
vc26,51.96068,0.33997,52.46249,0.99919
vc25,51.87263,0.99723,52.61227,1.84478
vc4,50.57499,-4.76035,51.29681,-3.31607
vc112,59.45701,-2.21664,60.91063,-0.62358
vc75,54.99466,-5.13884,55.89261,-3.95706
vc1,49.81508,-6.49567,50.60147,-4.83525
vc45,51.54618,-5.75062,52.16642,-4.48552
vcH15,52.96818,-9.09874,53.34583,-7.96782
vcH39,54.47728,-6.73304,55.36298,-5.60182
vcH17,53.23981,-9.26636,53.71886,-8.22455
vcH4,51.62547,-9.27471,52.38779,-8.21788
vcH5,51.73517,-8.69539,52.34831,-7.76938
vc113,48.87117,-3.02112,49.94026,-1.83467
