gr,freq,shape,colour,opacity,size
B70A,1,circle,black,0.8,1
B70L,1,circle,black,0.8,1
B84N,1,circle,black,0.8,1
B84S,1,circle,black,0.8,1
C03S,1,circle,black,0.8,1
C03U,1,circle,black,0.8,1
C35Z,1,circle,black,0.8,1
C45B,1,circle,black,0.8,1
C45J,1,circle,black,0.8,1
C45F,1,circle,black,0.8,1
C46X,1,circle,black,0.8,1
C64K,1,circle,black,0.8,1
C73N,1,circle,black,0.8,1
C73X,1,circle,black,0.8,1
C83C,1,circle,black,0.8,1
C83D,2,circle,black,0.8,1
C83E,1,circle,black,0.8,1
C83J,1,circle,black,0.8,1
C84K,1,circle,black,0.8,1
C84R,1,circle,black,0.8,1
C84V,1,circle,black,0.8,1
C83W,1,circle,black,0.8,1
C94G,3,circle,black,0.8,1
C94M,1,circle,black,0.8,1
D04B,1,circle,black,0.8,1
D04H,1,circle,black,0.8,1
D00S,1,circle,black,0.8,1
D00Y,1,circle,black,0.8,1
D04W,1,circle,black,0.8,1
D14A,1,circle,black,0.8,1
D10F,1,circle,black,0.8,1
D10H,1,circle,black,0.8,1
D14W,1,circle,black,0.8,1
D24A,1,circle,black,0.8,1
D22M,1,circle,black,0.8,1
D22P,1,circle,black,0.8,1
D31C,2,circle,black,0.8,1
D31D,1,circle,black,0.8,1
D31L,1,circle,black,0.8,1
D30W,2,circle,black,0.8,1
D40A,2,circle,black,0.8,1
D40B,1,circle,black,0.8,1
D50A,1,circle,black,0.8,1
F52S,1,circle,black,0.8,1
F62J,1,circle,black,0.8,1
F62P,1,circle,black,0.8,1
F61P,1,circle,black,0.8,1
F63Q,1,circle,black,0.8,1
F63R,1,circle,black,0.8,1
F84W,1,circle,black,0.8,1
G04Q,2,circle,black,0.8,1
G43Y,1,circle,black,0.8,1
G53X,2,circle,black,0.8,1
G62J,1,circle,black,0.8,1
G65L,1,circle,black,0.8,1
G69T,1,circle,black,0.8,1
G75D,2,circle,black,0.8,1
G79B,1,circle,black,0.8,1
G97D,1,circle,black,0.8,1
H37H,1,circle,black,0.8,1
H47L,1,circle,black,0.8,1
H47R,1,circle,black,0.8,1
H58H,1,circle,black,0.8,1
H57U,1,circle,black,0.8,1
H65I,1,circle,black,0.8,1
H76A,1,circle,black,0.8,1
H76Q,1,circle,black,0.8,1
H76S,1,circle,black,0.8,1
H77Z,1,circle,black,0.8,1
H86A,1,circle,black,0.8,1
H87E,2,circle,black,0.8,1
H85E,1,circle,black,0.8,1
H86F,1,circle,black,0.8,1
H87J,1,circle,black,0.8,1
H88F,2,circle,black,0.8,1
H87K,1,circle,black,0.8,1
H86K,1,circle,black,0.8,1
H84R,1,circle,black,0.8,1
H86Q,1,circle,black,0.8,1
H87U,1,circle,black,0.8,1
H86V,3,circle,black,0.8,1
H85Z,2,circle,black,0.8,1
H89V,1,circle,black,0.8,1
H95C,1,circle,black,0.8,1
H96A,1,circle,black,0.8,1
H99G,1,circle,black,0.8,1
H94P,1,circle,black,0.8,1
H96K,2,circle,black,0.8,1
H94Q,1,circle,black,0.8,1
H91T,1,circle,black,0.8,1
H95V,1,circle,black,0.8,1
H95Y,1,circle,black,0.8,1
H99V,2,circle,black,0.8,1
HU15T,1,circle,black,0.8,1
HU27A,1,circle,black,0.8,1
