gr,freq,shape,colour,opacity,size
G96,8,circlerad,black,0.8,1
G97,7,circlerad,black,0.8,1
G98,8,circlerad,black,0.8,1
G99,2,circlerad,black,0.8,1
H00,14,circlerad,black,0.8,1
H01,10,circlerad,black,0.8,1
H02,7,circlerad,black,0.8,1
H03,16,circlerad,black,0.8,1
H04,24,circlerad,black,0.8,1
H05,24,circlerad,black,0.8,1
H06,16,circlerad,black,0.8,1
H07,5,circlerad,black,0.8,1
H08,5,circlerad,black,0.8,1
H09,6,circlerad,black,0.8,1
H10,13,circlerad,black,0.8,1
H11,12,circlerad,black,0.8,1
H12,6,circlerad,black,0.8,1
H13,22,circlerad,black,0.8,1
H14,25,circlerad,black,0.8,1
H15,22,circlerad,black,0.8,1
H16,23,circlerad,black,0.8,1
H17,9,circlerad,black,0.8,1
H18,5,circlerad,black,0.8,1
H19,4,circlerad,black,0.8,1
H20,15,circlerad,black,0.8,1
H21,8,circlerad,black,0.8,1
H22,19,circlerad,black,0.8,1
H23,25,circlerad,black,0.8,1
H24,24,circlerad,black,0.8,1
H25,21,circlerad,black,0.8,1
H26,23,circlerad,black,0.8,1
H27,9,circlerad,black,0.8,1
H28,11,circlerad,black,0.8,1
H29,7,circlerad,black,0.8,1
H30,10,circlerad,black,0.8,1
H31,13,circlerad,black,0.8,1
H32,25,circlerad,black,0.8,1
H33,25,circlerad,black,0.8,1
H34,24,circlerad,black,0.8,1
H35,15,circlerad,black,0.8,1
H36,7,circlerad,black,0.8,1
H37,11,circlerad,black,0.8,1
H38,9,circlerad,black,0.8,1
H39,10,circlerad,black,0.8,1
H40,7,circlerad,black,0.8,1
H41,10,circlerad,black,0.8,1
H42,24,circlerad,black,0.8,1
H43,25,circlerad,black,0.8,1
H44,22,circlerad,black,0.8,1
H45,9,circlerad,black,0.8,1
H46,10,circlerad,black,0.8,1
H47,12,circlerad,black,0.8,1
H48,15,circlerad,black,0.8,1
H49,5,circlerad,black,0.8,1
H50,6,circlerad,black,0.8,1
H51,6,circlerad,black,0.8,1
H52,8,circlerad,black,0.8,1
H53,19,circlerad,black,0.8,1
H54,9,circlerad,black,0.8,1
H55,19,circlerad,black,0.8,1
H56,7,circlerad,black,0.8,1
H57,6,circlerad,black,0.8,1
H58,11,circlerad,black,0.8,1
H59,6,circlerad,black,0.8,1
H60,11,circlerad,black,0.8,1
H61,7,circlerad,black,0.8,1
H62,4,circlerad,black,0.8,1
H63,12,circlerad,black,0.8,1
H64,9,circlerad,black,0.8,1
H65,14,circlerad,black,0.8,1
H66,6,circlerad,black,0.8,1
H67,7,circlerad,black,0.8,1
H68,11,circlerad,black,0.8,1
H69,4,circlerad,black,0.8,1
H70,6,circlerad,black,0.8,1
H71,6,circlerad,black,0.8,1
H72,4,circlerad,black,0.8,1
H73,17,circlerad,black,0.8,1
H74,20,circlerad,black,0.8,1
H75,14,circlerad,black,0.8,1
H76,8,circlerad,black,0.8,1
H77,13,circlerad,black,0.8,1
H78,5,circlerad,black,0.8,1
H79,12,circlerad,black,0.8,1
H80,16,circlerad,black,0.8,1
H81,12,circlerad,black,0.8,1
H82,14,circlerad,black,0.8,1
H83,15,circlerad,black,0.8,1
H84,22,circlerad,black,0.8,1
H85,17,circlerad,black,0.8,1
H86,12,circlerad,black,0.8,1
H87,11,circlerad,black,0.8,1
H88,17,circlerad,black,0.8,1
H89,11,circlerad,black,0.8,1
H90,9,circlerad,black,0.8,1
H91,16,circlerad,black,0.8,1
H92,14,circlerad,black,0.8,1
H93,14,circlerad,black,0.8,1
H94,18,circlerad,black,0.8,1
H95,15,circlerad,black,0.8,1
H96,15,circlerad,black,0.8,1
H97,6,circlerad,black,0.8,1
H98,12,circlerad,black,0.8,1
H99,15,circlerad,black,0.8,1
HP50,11,circlerad,black,0.8,1
HP60,9,circlerad,black,0.8,1
HP61,6,circlerad,black,0.8,1
HT93,1,circlerad,black,0.8,1
HT94,1,circlerad,black,0.8,1
HU14,1,circlerad,black,0.8,1
HU15,1,circlerad,black,0.8,1
HU16,2,circlerad,black,0.8,1
HU24,2,circlerad,black,0.8,1
HU25,4,circlerad,black,0.8,1
HU26,1,circlerad,black,0.8,1
HU28,2,circlerad,black,0.8,1
HU30,1,circlerad,black,0.8,1
HU31,6,circlerad,black,0.8,1
HU32,1,circlerad,black,0.8,1
HU33,4,circlerad,black,0.8,1
HU34,3,circlerad,black,0.8,1
HU35,3,circlerad,black,0.8,1
HU36,6,circlerad,black,0.8,1
HU37,7,circlerad,black,0.8,1
HU38,4,circlerad,black,0.8,1
HU39,1,circlerad,black,0.8,1
HU40,2,circlerad,black,0.8,1
HU41,2,circlerad,black,0.8,1
HU42,7,circlerad,black,0.8,1
HU43,6,circlerad,black,0.8,1
HU44,10,circlerad,black,0.8,1
HU45,7,circlerad,black,0.8,1
HU46,6,circlerad,black,0.8,1
HU47,4,circlerad,black,0.8,1
HU48,3,circlerad,black,0.8,1
HU49,1,circlerad,black,0.8,1
HU53,2,circlerad,black,0.8,1
HU54,3,circlerad,black,0.8,1
HU55,1,circlerad,black,0.8,1
HU56,5,circlerad,black,0.8,1
HU57,1,circlerad,black,0.8,1
HU58,3,circlerad,black,0.8,1
HU59,7,circlerad,black,0.8,1
HU68,1,circlerad,black,0.8,1
HU69,4,circlerad,black,0.8,1
HY10,1,circlerad,black,0.8,1
HY20,12,circlerad,black,0.8,1
HY21,16,circlerad,black,0.8,1
HY22,17,circlerad,black,0.8,1
HY23,1,circlerad,black,0.8,1
HY30,13,circlerad,black,0.8,1
HY31,21,circlerad,black,0.8,1
HY32,19,circlerad,black,0.8,1
HY33,5,circlerad,black,0.8,1
HY34,1,circlerad,black,0.8,1
HY40,13,circlerad,black,0.8,1
HY41,12,circlerad,black,0.8,1
HY42,15,circlerad,black,0.8,1
HY43,6,circlerad,black,0.8,1
HY44,15,circlerad,black,0.8,1
HY45,3,circlerad,black,0.8,1
HY50,17,circlerad,black,0.8,1
HY51,5,circlerad,black,0.8,1
HY52,4,circlerad,black,0.8,1
HY53,8,circlerad,black,0.8,1
HY54,1,circlerad,black,0.8,1
HY55,3,circlerad,black,0.8,1
HY60,1,circlerad,black,0.8,1
HY61,1,circlerad,black,0.8,1
HY62,13,circlerad,black,0.8,1
HY63,7,circlerad,black,0.8,1
HY64,9,circlerad,black,0.8,1
HY74,6,circlerad,black,0.8,1
HY75,6,circlerad,black,0.8,1
J00,10,circlerad,black,0.8,1
J01,15,circlerad,black,0.8,1
J02,16,circlerad,black,0.8,1
J03,20,circlerad,black,0.8,1
J04,19,circlerad,black,0.8,1
J05,19,circlerad,black,0.8,1
J06,18,circlerad,black,0.8,1
J07,5,circlerad,black,0.8,1
J08,11,circlerad,black,0.8,1
J09,12,circlerad,black,0.8,1
J10,10,circlerad,black,0.8,1
J11,11,circlerad,black,0.8,1
J12,15,circlerad,black,0.8,1
J13,11,circlerad,black,0.8,1
J14,15,circlerad,black,0.8,1
J15,20,circlerad,black,0.8,1
J16,12,circlerad,black,0.8,1
J17,16,circlerad,black,0.8,1
J18,17,circlerad,black,0.8,1
J19,14,circlerad,black,0.8,1
J20,5,circlerad,black,0.8,1
J21,16,circlerad,black,0.8,1
J22,14,circlerad,black,0.8,1
J23,10,circlerad,black,0.8,1
J24,9,circlerad,black,0.8,1
J25,15,circlerad,black,0.8,1
J26,21,circlerad,black,0.8,1
J27,13,circlerad,black,0.8,1
J28,18,circlerad,black,0.8,1
J29,13,circlerad,black,0.8,1
J31,5,circlerad,black,0.8,1
J32,12,circlerad,black,0.8,1
J33,23,circlerad,black,0.8,1
J34,20,circlerad,black,0.8,1
J35,19,circlerad,black,0.8,1
J36,19,circlerad,black,0.8,1
J37,25,circlerad,black,0.8,1
J38,15,circlerad,black,0.8,1
J39,17,circlerad,black,0.8,1
J43,14,circlerad,black,0.8,1
J44,20,circlerad,black,0.8,1
J45,25,circlerad,black,0.8,1
J46,18,circlerad,black,0.8,1
J47,22,circlerad,black,0.8,1
J48,13,circlerad,black,0.8,1
J49,18,circlerad,black,0.8,1
J53,12,circlerad,black,0.8,1
J54,21,circlerad,black,0.8,1
J55,21,circlerad,black,0.8,1
J56,16,circlerad,black,0.8,1
J57,20,circlerad,black,0.8,1
J58,9,circlerad,black,0.8,1
J64,7,circlerad,black,0.8,1
J65,13,circlerad,black,0.8,1
J66,14,circlerad,black,0.8,1
J67,5,circlerad,black,0.8,1
J68,2,circlerad,black,0.8,1
L46,1,circlerad,black,0.8,1
L54,2,circlerad,black,0.8,1
L55,6,circlerad,black,0.8,1
L56,3,circlerad,black,0.8,1
L63,3,circlerad,black,0.8,1
